,company_founded,company_location,company_industry,company_name,company_employees,company_website
318,['2005'],['Malaysia'],['Film'],Astro Shaw Sdn Bhd,[],"['www', '.astroshaw', '.com', '.my']"
319,['Tokyu'],"['Ginza', 'ChÅ«Å, Tokyo']","['Film and television', 'Video games']","Toei Company, Ltd.","['343', '(as of March 1, 2019)', '[1]']","['www', '.toei', '.co', '.jp']"
320,"['December\xa011, 1919']","['New York City', 'New York']",['Oil and gas'],Hess Corporation,"['1621', '[1]', '\xa0(2020)']","['hess', '.com']"
321,"['Tokyo', 'Japan']","['YÅ«rakuchÅ', 'Chiyoda']","['Motion picture, theatre, television, video games']","Toho Company, Ltd.","['3,305', '[2]']","['www', '.toho', '.co', '.jp']"
322,[],"['Midland, Texas']",['Petroleum industry'],"Diamondback Energy, Inc.",['870 (2021)'],"['www', '.diamondbackenergy', '.com']"
323,['1888'],"['EQT Plaza', 'Pittsburgh, Pennsylvania']",['Petroleum industry'],EQT Corporation,['693 (Dec. 2021)'],"['www', '.eqt', '.com']"
324,['1999'],"['Heritage Plaza', 'Houston']",['Petroleum industry'],"EOG Resources, Inc.","['2,900 (2020)']","['www', '.eogresources', '.com']"
325,['1971'],"['Devon Energy Center', 'Oklahoma City']",['Petroleum industry'],Devon Energy Corporation,"['1,600 (2021)']","['www', '.devonenergy', '.com']"
326,[],['Oklahoma City'],['Petroleum'],"Continental Resources, Inc.","['1,254 (2021)']","['clr', '.com']"
327,['1989'],"['Houston, Texas']",['Petroleum industry'],Coterra Energy Inc.,['936 (2021)'],"['coterra', '.com']"
328,['1951'],"['Plano, Texas']",['Petroleum industry'],Denbury Inc.,['716 (2021)'],"['www', '.denbury', '.com']"
329,"['30\xa0August 2002', ' (as ConocoPhillips Co.)']","['Houston Energy Corridor', 'Houston, Texas']",['Oil and gas'],ConocoPhillips Company,"['c.', '\u20099,900', ' (December 2021)']",['conocophillips.com']
330,"['Tokyo', 'Japan', 'kabuki']",['Tsukiji'],['Entertainment (Movie)'],"Shochiku Co., Ltd.",['1427\xa0(2021)'],"['www', '.shochiku', '.co', '.jp']"
331,['1912'],['Japan'],"['Television production', 'Film']",Nikkatsu,[],"['www', '.nikkatsu', '.com']"
332,[],[],['Natural gas'],CNX Resources Corporation,['441 (2021)'],"['www', '.cnx', '.com']"
333,['November 2002'],"['1-8-19 Fujimi, Chiyoda-ku, Tokyo 102-8078']",['Film'],Kadokawa Daiei Studio,[],"['kd-st', '.co', '.jp']"
334,"['July\xa01, 2022']","['Houston, Texas']",['Petroleum industry'],Chord Energy Corporation,[],"['www', '.chordenergy', '.com']"
335,"['March\xa010, 1969']",['Arakawa-ku'],['Japanese animation'],"Eiken Co., Ltd.",['50'],[]
336,"['1999', '(Saba; Horizontal Ventures)']","['Santa Maria', 'California', 'U.S.']","['Petroleum industry', 'Mining']",HVI Cat Canyon Inc.,['200'],"['www', '.greka', '.com']"
337,"['London, England']","['Shinjuku, Tokyo']","['Film, Anime']",Enoki Films,[],['enoki-films.co.jp']
338,['1904'],"['Rome, Italy']",[],Titanus,[],[]
339,[],"['Los Angeles', 'Houston', 'United States']",['Oil and Gas'],Blacksands Pacific,['51-200'],"['www', '.blacksandspacific', '.com']"
340,['1989'],"['Oklahoma City, Oklahoma', ', U.S.']",['Petroleum industry'],Chesapeake Energy Corporation,"['1,300 (2022)']","['chk', '.com']"
341,['April\xa02014'],"['Los Angeles, California']",['Petroleum industry'],California Resources Corporation,['970 (2021)'],"['crc', '.com']"
342,['1909'],"['Dallas, TX']",['Petroleum industry'],Berry Corporation,"['1,224 (2021)']","['bry', '.com']"
343,['1954'],"['Post Oak Central', 'Houston, Texas']",['Petroleum industry'],APA Corporation,"['2,253 (2021)']","['apacorp', '.com']"
344,['2002'],"['Denver, Colorado']",['Petroleum industry'],Antero Resources Corporation,"['519 (December 31, 2021)']","['www', '.anteroresources', '.com']"
345,['January\xa01993'],"['Pointe-a-Pierre', 'Trinidad and Tobago']",['Oil and gas industry'],Petrotrin,"['5,500', '[2]']","['www', '.petrotrin', '.com']"
346,"['June\xa07, 1938']",['Mexico City'],['Oil and gas'],PetrÃ³leos Mexicanos,"['124,818 (2018)']","['www', '.pemex', '.com']"
347,[],['Tegucigalpa'],['Oil and gas'],Gasolineras Uno,[],"['www', '.uno-terra', '.com']"
348,['1994'],"['Calgary, Alberta', 'Canada']",['Petroleum'],Vermilion Energy Inc.,"['1,053', '[2]']","['vermilionenergy', '.com']"
349,"['August\xa06, 1960']",['Havana'],['Oil and gas'],Cuba Oil Union,"['24,000 (March 2016)', '[1]']","['www', '.cupet', '.cu', '/es']"
350,['1951'],"['Calgary', 'Alberta']",['Energy'],TC Energy Corporation,"['7,000', '[2]']","['www', '.tcenergy', '.com']"
351,"['October\xa03,\xa01991']","['Vancouver', 'Canada']",['Oil and gas'],ShaMaran Petroleum Corp.,[],"['www', '.shamaranpetroleum', '.com']"
352,['December\xa01964'],"['Fort McMurray', 'Alberta']",['Petroleum'],Syncrude Canada Ltd.,"['5,600 ', '(2009)']",['syncrude.ca']
353,['1970'],['Mumbai'],[],Yash Raj Films,[],[' ']
354,['1986'],"['Mumbai', 'India']",['Motion pictures'],Vishesh Films,[],"['www', '.visheshfilms', '.com']"
355,['1985'],"['Mumbai', 'India']",['Motion pictures'],Vinod Chopra Films,[],['https://www.vinodchoprafilms.com/']
356,['1948'],"['Chennai', 'Tamil Nadu', 'India']",['Motion picture'],Vijaya Vauhini Studios,[],[]
357,['1996'],"['Mumbai', 'India']","['Film production', 'film distribution']",UTV Motion Pictures,[],"['corporate', '.disney', '.in', '/disney-companies', '/studios']"
358,"['Mumbai', 'Maharashtra', 'India']","['Mumbai', 'Maharashtra', 'India']",['Motion pictures'],Trimurti Films Pvt. Ltd.,[],[]
359,['1975'],"['Mumbai', 'Maharashtra', 'India']","['Entertainment', 'Music', 'Film production']",Tips Industries,[],"['tips', '.in']"
360,"['2006', ' in Mumbai']","['Mumbai', 'India']",['Film'],Viacom18 Studios,[],"['www', '.viacom18studios', '.com']"
361,['1964'],"['Hyderabad', 'Telangana']",['Entertainment'],Suresh Productions,[],['Suresh Productions']
362,['22\xa0August\xa01979'],"['Calgary', 'Alberta']",['Oil and gas'],Suncor Energy Inc.,"['16,922 (2021)', '[3]']","['suncor', '.com']"
363,['Delhi'],"['Noida', 'India']","['Music', 'Entertainment']",Super Cassette Industries Private Limited,[],['TSeries.com']
364,['2000'],"['Calgary', 'Canada', 'Oslo', 'Norway']",['Petroleum industry'],Questerre Energy Corporation,"['20 ', '(end 2010)', '[3]']","['www', '.questerre', '.com']"
365,[],"['Kolkata', 'West Bengal']",['Entertainment(2001-Present)'],Surinder Films,[],['Surinder Films']
366,"[""St. John's, Newfoundland and Labrador""]","[""St. John's, Newfoundland and Labrador"", 'Canada']",['Energy'],Nalcor Energy,[],"['www', '.nalcorenergy', '.com']"
367,['1880'],"['Calgary', 'Alberta', 'Canada']",['Petroleum'],Imperial Oil Limited,"['5,263 (2012)', '[2]']",['imperialoil.ca']
