,company_ceo,company_name,company_employees
402,Oscar Gonzalez Rocha,Southern Copper Corporation,"13,777"
403,,First Gulf Bank,
404,Hilton Schlosberg,Monster Beverage Corporation,"4,092"
405,Bobby Kotick,Activision Blizzard,"9,800"
406,,Wuxi Apptec,"33,305"
407,Lance Uggla,Ihs Markit,"16,000"
408,Peter Zaffino,American International Group (aig),"36,600"
409,Uday Kotak,Kotak Mahindra Bank,"71,000"
410,Scott D. Sheffield,Pioneer Natural Resources Company,"1,932"
411,Neil Hunn,Roper Technologies,"18,400"
412,,Citic Securities Company,"11,380"
413,David Baszucki,Roblox Corp,"1,600"
414,Ari Bousbib,Iqvia Holdings,"79,000"
415,Richard Adam Norwitt,Amphenol Corporation,"90,000"
416,Olivier Le Peuch,Schlumberger,"92,000"
417,Yang Hua,Cnooc Limited,"18,703"
418,Makoto Takashima,Sumitomo Mitsui Financial Group,"86,800"
419,Charles F. Lowrey,Prudential,"18,687"
420,Michael D. Hsu,Kimberly-clark Corporation,"45,000"
421,Tom Palmer,Newmont Corporation,"14,400"
422,Mirko Bibic,Bce (bell Canada Enterprises),"52,100"
423,C. S. Venkatakrishnan,Barclays Plc,"83,000"
424,Rob Scott,Wesfarmers,"122,000"
425,,Edeka Group,"402,000"
426,Francois Poirier,Tc Energy Corporation,"7,283"
427,Takehiko Kakiuchi,Mitsubishi Corporation,"82,997"
428,Victor Peng,Xilinx,"4,891"
429,Christian Sinding,Eqt Ab (publ),"1,160"
430,C Vijayakumar,Hcl Technologies,"210,966"
431,Vladimir Potanin,Mmc Norilsk Nickel,"75,901"
432,Simon A Borrows,3i Group,282
433,Martin Mucci,Paychex,"15,000"
434,Rosalind Brewer,Walgreens Boots Alliance,"277,000"
435,John Rim,Samsung Biologics,"2,730"
436,,Nio Inc,"7,763"
437,Jay Mazelsky,Idexx Laboratories,"10,350"
438,Bruce D. Broussard,Humana,"95,500"
439,Mads Nipper,Orsted A/s,"6,429"
440,,Stripe,"7,802"
441,,Spacex,"9,500"
442,,Lululemon Athletica,"25,000"
443,Amit Syngle,Asian Paints,"7,600"
444,Gregory D. Johnson,O'reilly Automotive,"83,636"
445,Anirudh Devgan,Cadence Design Systems,"9,300"
446,Gilles Andrier,Givaudan Sa,"16,842"
447,Bill Newlands,Constellation Brands,"9,300"
448,Philippe Brassac,Credit Agricole,"73,037"
449,,Muyuan Foods,"50,319"
450,Jean-Marc Chery,Stmicroelectronics,"48,254"
451,Ganesh Moorthy,Microchip Technology,"19,500"
452,Bom Suk Kim,"Coupang, Inc.","50,000"
453,Henry A. Fernandez,Msci,"4,303"
454,Kevin R. Sayer,Dexcom,"7,000"
455,A. William Stein,Digital Realty Trust,"3,030"
456,Miguel Patricio,Kraft Heinz Company,"36,000"
457,Kevin P. Clark,Aptiv,"151,000"
458,Masahiro Okafuji,Itochu Corporation,"128,146"
459,Brian Humphries,Cognizant Technology Solutions,"330,600"
460,Nick Akins,American Electric Power Company,"16,688"
461,Tony Xu,Doordash,"8,600"
462,Michael F. Neidorff,Centene Corporation,"72,500"
463,Olivier Pomel,Datadog,"3,200"
464,David Gitlin,Carrier Global,"58,000"
465,,Linkedin,"18,000"
466,,Trane Technologies Plc,"37,000"
467,,Trafigura,"8,619"
468,Brian Niccol,Chipotle Mexican Grill,"97,660"
469,Elizabeth Gaines,Fortescue Metals Group,"10,164"
470,Michael J. Hennigan,Marathon Petroleum Corporation,"17,700"
471,Fitterling,Dow Inc,"35,700"
472,Jose E. Almeida,Baxter International,"60,000"
473,Michael R. McMullen,Agilent Technologies,"17,000"
474,William J Stromberg,T. Rowe Price Group,"7,529"
475,,Pt Bank Rakyat Indonesia (persero) Tbk,"61,531"
476,Jeffrey W. Martin,Sempra Energy,"4,537"
477,Hak Cheol Shin,Lg Chem,"12,561"
478,Michael S. Dell,Dell Technologies,"158,000"
479,Benjamin William Keswick,Jardine Matheson Holdings,"403,000"
480,David Velez Osorno,Nu Holdings Ltd.,
481,Joachim Wenning,Munchener Ruckversicherungs-gesellschaft,"39,642"
482,Katsunori Maruyama,Smc Corporation,"21,456"
483,,Haier Smart Home,"99,299"
484,George Kurtz,Crowdstrike Holdings,"3,394"
485,David Hsu,Jardine Strategic Holdings,"464,000"
486,Charles F. Lowrey,Prudential Financial,"40,916"
487,,Cosco Shipping Holdings,"26,852"
488,Jeffrey S. Sloan,Global Payments,"25,000"
489,,Wuxi Biologics (cayman),"5,544"
490,Jon Vander Ark,Republic Services,"35,000"
491,Greg Brown,Motorola Solutions,"18,700"
492,Brian Cassin,Experian,"17,800"
493,Daniel Ek,Spotify Technology,"6,617"
494,Nick Read,Vodafone Group,"105,000"
495,Gregory W. Becker,Svb Financial Group,"6,567"
