,company_ceo,company_name,company_employees
5292,,International Bancshares Corporation,"2,254"
5293,,Gentherm,"10,474"
5294,,Cimc Enric Holdings,
5295,,Patterson Companies,"7,800"
5296,,Badger Meter,"1,837"
5297,,"Kymera Therapeutics, Inc.",80
5298,,Kainos Group,
5299,,Alfresa Holdings Corporation,"1,004"
5300,,Diagnosticos Da America,
5301,,Guangdong Provincial Expressway Development,
5302,,Ranpak Holdings,875
5303,,Netlink Nbn Trust,
5304,,Frasers Centrepoint Trust,
5305,,Sms,"13,793"
5306,,Gerresheimer Ag,"9,872"
5307,,Mobile Telecommunications Company Saudi Arabia,
5308,,Software Ag,
5309,,Millicom International Cellular,"22,000"
5310,,Falck Renewables,
5311,,Ashmore Group,
5312,,Tangshan Sanyou Chemical Industries,
5313,,Olo Inc.,639
5314,,Paysafe Limited,
5315,,Invitae Corporation,"3,000"
5316,,Grindwell Norton,"3,973"
5317,,Solar Industries India,
5318,,Beijing Sanju Environmental Protection & New Materials,
5319,,Airport City,
5320,,23andme Holding Co.,746
5321,,Enerplus Corporation,
5322,,Lotes,
5323,,Ashtrom Group,
5324,,Arcsoft Corporation,670
5325,,Inner Mongolia Yitai Coal,
5326,,Mapletree North Asia Commercial Trust,
5327,,Jinhui Liquor,
5328,,China Grand Pharmaceutical And Healthcare Holdings,
5329,,Nippon Accommodations Fund,
5330,,Atricure,875
5331,,China South Publishing & Media Group Co. Ltd,
5332,,Bohai Leasing,
5333,,Sweetgreen,"4,877"
5334,,Gome Retail Holdings Limited,
5335,,Columbia Banking System,"2,162"
5336,,Thai Union Group Public Company,
5337,,Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,
5338,,Templeton Emerging Markets Investment Trust Plc,
5339,,Bravida Holding Ab (publ),
5340,,Fortress Transportation And Infrastructure Investors Llc,600
5341,,Aeon Reit Investment Corporation,
5342,,"Arbor Realty Trust, Inc.",579
5343,,Tri Pointe Group,"1,390"
5344,,Wh Smith,"14,321"
5345,,Orange Polska,
5346,,Robinsons Land Corporation,"1,929"
5347,,Grupo Financiero Galicia,
5348,,Pt Indocement Tunggal Prakarsa Tbk,"5,246"
5349,,Zhejiang Wanliyang,
5350,,Mvv Energie Ag,
5351,,Klcc Real Estate Investment Trust,
5352,,Solvac,
5353,,Urban Outfitters,"19,000"
5354,,Sanquan Food,
5355,,Samsung Card,
5356,,Hostess Brands,"2,600"
5357,,Nagarro Se,
5358,,Db Hitek,
5359,,Otter Tail Corporation,"2,487"
5360,,C&d International Investment Group,"7,597"
5361,,Sansteel Minguang.fujian,
5362,,Yamada Denki,"19,985"
5363,,Chinese Universe Publishing And Media Group,
5364,,Singapore Press Holdings,"3,540"
5365,,Saturday,
5366,,China National Accord Medicines Corporation,
5367,,Lien Hwa Industrial Holdings Corporation,
5368,,Siasun Robot&automation,
5369,,Cosco Shipping Ports,
5370,,Comsys Holdings Corporation,"16,844"
5371,,Kent Gida Maddeleri Sanayii Ve Ticaret,
5372,,China Petroleum Engineering Corporation,
5373,,Taiwan Business Bank,
5374,,National Health Investors,17
5375,,Kws Saat Se & Co. Kgaa,"5,709"
5376,,United States Cellular Corporation,"5,900"
5377,,Grandblue Environment,
5378,,Ossur,"4,000"
5379,,Tiandi Science & Technology Co.ltd,
5380,,Zhihu Inc.,
5381,,H&k Ag,
5382,,Acv Auctions Inc.,"1,910"
5383,,Federal Grid Company Of Unified Energy System,
5384,,Shanghai Fullhan Microelectronics,
5385,,Eutelsat Communications,
5386,,Momentive Global Inc.,"1,600"
5387,,Ssp Group,"39,549"
5388,,"Hang Zhou Iron & Steel Co.,ltd.",
5389,,"Powerschool Holdings, Inc.","2,905"
5390,,"Rackspace Technology, Inc.","6,600"
5391,,Kenon Holdings,120
5392,,Hub Group,
5393,,Wuhan Jingce Electronic Group,
5394,,China Automotive Engineering Research Institute,
5395,,Sembcorp Industries Ltd,"4,500"
5396,,Fangda Special Steel Technology,
5397,,Bharat Heavy Electricals,"39,821"
5398,,Primo Water Corporation,"11,500"
5399,,"Ziprecruiter, Inc.",
5400,,Whiting Petroleum Corporation,
5401,,Assura,
5402,,Jiangsu Guomao Reducer,
5403,,Samsonite International,"14,500"
5404,,Fp Corporation,"4,484"
5405,,Corbion,"2,267"
5406,,Justsystems Corporation,339
5407,,Shift,
5408,,Auction Technology Group Plc,
5409,,Jmt Network Services Public Company,
5410,,Pagegroup,
5411,,National Aluminium Company,"6,496"
5412,,Sims Metal Management,894
5413,,Banco Comercial Portugues,
5414,,Technology One,
5415,,"Hubei Yihua Chemical Industry Co., Ltd.",
5416,,Jiangsu Dingsheng New Material Joint-stock,
5417,,First Interstate Bancsystem,"2,330"
5418,,Brady Corporation,"5,700"
5419,,Crisil,"3,609"
5420,,Billdesk,342
5421,,Trinity Industries,"2,000"
5422,,Alamos Gold,"1,700"
5423,,Obic Business Consultants,842
5424,,Springworks Therapeutics,176
5425,,Nevro,945
5426,,Cetc Energy Joint-stock,
5427,,Ningbo Boway Alloy Material Company,
5428,,United Natural Foods,"28,300"
5429,,Turkish Airlines,
5430,,Finsbury Growth & Income Trust,
5431,,Nizhnekamskneftekhim,
5432,,Jiangyin Hengrun Heavy Industries Co. Ltd,
5433,,Vocera Communications,745
5434,,Guangzhou Great Power Energy And Technology Co. Ltd,
5435,,Shenzhen Huaqiang Industry,
5436,,Isetan Mitsukoshi Holdings,"8,714"
5437,,Stepan Company,"2,439"
5438,,"The Navigator Company, S.a.",
5439,,Corporacion Moctezuma,
5440,,Shanghai Belling,
5441,,Canadian Western Bank,"2,505"
5442,,Shanghai Tunnel Engineering,
5443,,Nv Bekaert Sa,
5444,,Korea Aerospace Industries,
5445,,Zhejiang Jiecang Linear Motion Technology,
5446,,United Industrial Corporation,"2,300"
5447,,Vector Limited,970
5448,,Activia Properties,
5449,,First Advantage Corp,"5,500"
5450,,Belden,"6,500"
5451,,Daelim Industrial,
5452,,Pagerduty,950
5453,,Cnova,
5454,,Dbappsecurity,
5455,,Toho Gas,"6,198"
5456,,China Reform Health Management And Services Group,
5457,,Luoyang Glass Company,
5458,,Yancoal Australia Ltd,
5459,,Royal Volkerwessels Nv,
5460,,Atrium Ljungberg Ab (publ),
5461,,Pt Saratoga Investama Sedaya Tbk,
5462,,Shanghai Liangxin Electrical,
5463,,Aggreko,
5464,,Antong Holdings,
5465,,Hyundai Mipo Dockyard,
5466,,Makemytrip,"5,200"
5467,,Macronix International,"3,992"
5468,,Financial Street Holdings,
5469,,Japan Logistics Fund,
5470,,Paramount Resources,
5471,,Hms Networks Ab (publ),
5472,,Moog,"14,000"
5473,,Flagstar Bancorp,"5,395"
5474,,Cranswick,"6,988"
5475,,Siam Global House Public Company,
5476,,Sumitomo Rubber Industries,"36,650"
5477,,Brii Biosciences Limited,
5478,,Shanghai Bright Power Semiconductor,
5479,,Kindred Group,"1,564"
5480,,Cedar Fair,"46,000"
5481,,"Guangdong Dongpeng Holdings Co., Ltd.",
5482,,Katitas,693
5483,,Central Bancompany,"32,335"
5484,,Primary Health Properties,
5485,,Keikyu Corporation,"9,034"
5486,,Shake Shack,"9,695"
5487,,Arendals Fossekompani Asa,
5488,,"Jenkem Technology Co., Ltd.",
5489,,Sinosoft,
5490,,Boise Cascade Company,"6,110"
5491,,Energizer Holdings,"6,000"
5492,,Lagercrantz Group Ab (publ),
5493,,Shanghai Weaver Network,
5494,,Powertech Technology,
5495,,Ns Solutions Corporation,"7,035"
5496,,Indiamart Intermesh Limited,"2,826"
5497,,Jfrog Ltd,662
5498,,Totvs,
5499,,Sendas Distribuidora S.a.,
5500,,Hg Capital Trust,
5501,,Electricity Generating Public Company,
5502,,Robertet Sa,
5503,,Turk Telekomunikasyon Anonim Sirketi,"34,034"
5504,,Nuvasive,"2,900"
5505,,Hanmi Pharm,
5506,,Secunet Security Networks,
5507,,Takara Bio,"1,517"
5508,,Lier Chemical,
5509,,Dycom Industries,"14,276"
5510,,Cts International Logistics Corporation,
5511,,Haemonetics Corporation,"2,708"
5512,,Liberty Latin America,
5513,,Yue Yuen Industrial (holdings),"319,000"
5514,,Sunnova Energy International,736
5515,,Unibet Group Plc,
5516,,Tc Pipelines Lp,
5517,,Electra,
5518,,Maccura Biotechnology Co.ltd,
5519,,Hangzhou Dptech Technologies,
5520,,Daio Paper Corporation,"12,656"
5521,,Bank Of Gansu,
5522,,Maytronics,
5523,,Gibson Energy,500
5524,,Brickworks,
5525,,Yulon Nissan Motor Co. Ltd,"1,082"
5526,,Fujian Kuncai Material Technology,
5527,,Nanji E-commerce Co. Ltd,
5528,,Navtech,
5529,,Ptc Therapeutics,"1,177"
5530,,Poonawalla Fincorp Limited,
5531,,Vista Outdoor,"5,900"
5532,,Grocery Outlet Holding,946
5533,,E-l Financial Corporation,870
5534,,Alibaba Pictures Group,"1,134"
5535,,Meritz Securities,
5536,,Taiwan Glass Ind,
5537,,Eneva,
5538,,Dada Nexus Ltd,"2,149"
5539,,Pt Dian Swastatika Sentosa Tbk,
5540,,Descente,"1,839"
5541,,Savills,
5542,,Ajanta Pharma,"7,167"
5543,,Dormakaba Holding Ag,
5544,,Orange Life Insurance,
5545,,Blackrock Science And Technology Trust Ii,
5546,,"Sichuan Anning Iron And Titanium Co.,ltd.",
5547,,"Recursion Pharmaceuticals, Inc.",216
5548,,"Arhaus, Inc.",
5549,,Ningbo Jifeng Auto Parts,
5550,,Sun Tv Network,"1,352"
5551,,Evercommerce Inc.,"1,750"
5552,,Visual China Group,
5553,,Wallenius Wilhelmsen Asa,
5554,,Tangshan Port Group,
5555,,Technip Energies N.v.,
5556,,Hatsun Agro Product,"4,864"
5557,,Nu Skin Enterprises,"4,600"
5558,,Pacira Biosciences,697
5559,,Leo Group,
5560,,Integer Holdings Corporation,"9,000"
5561,,Ahli Bank,
5562,,Tp Icap Group Plc,
5563,,Tatung,
5564,,Polaris Bay Group,
5565,,Cohen & Steers Infrastructure Fund,354
5566,,Nihon Unisys,"7,830"
5567,,Innergex Renewable Energy,400
5568,,Yanan Bicon Pharmaceutical Listed Company,
5569,,Blackrock Health Sciences Trust Ii,
5570,,Zhejiang Jiuli Hi-tech Metals,
5571,,Nippon Television Holdings,201
5572,,Compania De Distribucion Integral Logista Holdings,
5573,,Constellium Se,
5574,,Comet Holding Ag,
5575,,First Majestic Silver,
5576,,Shenzhen Fine Made Electronics Group,
5577,,Shanghai Diesel Engine,
5578,,Edgewell Personal Care Company,"6,900"
5579,,Gav-yam Lands Corp. Ltd,
5580,,Navin Fluorine International,
5581,,Bavarian Nordic A/s,
5582,,Mmg Limited,
5583,,Jiangsu Xinquan Automotive Trim,
5584,,Pretium Resources,606
5585,,Prairiesky Royalty,58
5586,,Shanghai Zhenhua Heavy Industries,
5587,,Momenta Pharmaceuticals,
5588,,Grupo Aeroportuario Del Centro Norte,
5589,,"Agiliti, Inc.","5,000"
5590,,Blue Sail Medical,
5591,,Hanwha Systems,
5592,,Jiangsu Hoperun Software,
5593,,Xinte Energy,
5594,,"Jinke Smart Services Group Co., Ltd.",
5595,,Camel Group,
5596,,Sunstone Hotel Investors,48
5597,,Hubei Biocause Pharmaceutical,
5598,,Jiangsu Zhongnan Construction Group,"42,974"
5599,,Aozora Bank,"2,323"
5600,,Suzhou Gold Mantis Construction Decoration,
5601,,Oasis Petroleum,
5602,,Arcus Biosciences,366
5603,,Grandjoy Holdings Group,
5604,,Encavis Ag,
5605,,Sanmina Corporation,"35,000"
5606,,Pang Da Automobile Trade Co. Ltd,
5607,,Golub Capital Bdc,
5608,,National Storage Affiliates Trust,"1,175"
5609,,Yokohama Rubber Company,"5,543"
5610,,Teamviewer Ag,"1,200"
5611,,Razer,"1,355"
5612,,Jiangsu Broadcasting Cable Information Network Corporation,
5613,,First Tractor Company,
5614,,Domino's Pizza Group,
5615,,Abdullah Al-othaim Markets Company,"15,500"
5616,,Kenedix Office Investment Corporation,
5617,,China Risun Group Limited,
5618,,Emergent Biosolutions,"2,416"
5619,,"Expensify, Inc.",
5620,,Jiangsu Provincial Agricultural Reclamation And Development,
5621,,Southern Province Cement Company,"1,670"
5622,,Shandong Chenming Paper Holdings,
5623,,Jiangsu Lopal Tech.co,
5624,,Zeon Corporation,"9,122"
5625,,Company For Cooperative Insurance,
5626,,Boralex,527
5627,,Shanxi Coal International Energy Group,
5628,,Innocare Pharma Limited,
5629,,Jiumaojiu International Holdings Limited,
5630,,Hansol Chemical,
5631,,Fastpartner Ab (publ),
5632,,Money Forward,776
5633,,"Remitly Global, Inc.","1,700"
5634,,Kpit Technologies Limited,
5635,,Encore Wire Corporation,"1,440"
5636,,Zhejiang Tianyu Pharmaceutical,
5637,,Rural Funds Group,
5638,,Qingdao Hanhe Cable,
5639,,Gag Immobilien Ag,
5640,,Nexity Sa,
5641,,Jinxin Fertility Group,
5642,,Peptidream,146
5643,,Japan Steel Works,"5,334"
5644,,Sinocare,
5645,,"Shandong Weifang Rainbow Chemical Co., Ltd",
5646,,Cavco Industries,"4,700"
5647,,Plexus,"19,200"
5648,,Marfrig Global Foods,
5649,,Shanghai Microport Endovascular Medtech,
5650,,Enel Chile,
5651,,"Bestore Co.,ltd.",
5652,,Zhejiang Hisun Pharmaceutical,
5653,,Mando Corporation,
5654,,Viva Energy Group,
5655,,Wuxi Taiji Industry Company,
5656,,Flughafen Wien,
5657,,Spx Corporation,"3,100"
5658,,The Foschini Group,
5659,,Relo Group,"2,302"
5660,,"Avidxchange Holdings, Inc.","1,600"
5661,,Winnebago Industries,"6,532"
5662,,Central Garden & Pet Company,"7,000"
5663,,Fluxys Belgium Sa,
5664,,Bossard Holding Ag,
5665,,Yelp,"4,400"
5666,,Lianhe Chemical Technology,
5667,,"Xometry, Inc.",788
5668,,Sri Trang Gloves (thailand) Public Company Limited,
5669,,"Vimeo, Inc.",
5670,,Anhui Guangxin Agrochemical,
5671,,Cooper Tire & Rubber Company,"8,720"
5672,,Ultrapar Participacoes,
5673,,Multiplan Corporation,
5674,,Jiangsu Sopo Chemical,
5675,,Yidu Tech Inc.,
5676,,Magellan Financial Group,131
5677,,Bank Millennium S.a.,
5678,,Skf India,"1,716"
5679,,Lindab International Ab,
5680,,Canon Marketing Japan,"16,860"
5681,,Sumitomo Chemical India Limited,
5682,,Open Lending Corporation,127
5683,,Arcbest Corporation,"14,000"
5684,,Forty Seven,
5685,,Flight Centre Travel Group,
5686,,Liberty Media Corporation,86
5687,,Alupar Investimento,
5688,,Great Portland Estates,
5689,,Sequoia Economic Infrastructure Income Fund Limited,
5690,,Happiest Minds Technologies,
5691,,Chemocentryx,178
5692,,Shanghai Qiangsheng Holding,
5693,,Nickel Mines Limited,
5694,,Atlas Air Worldwide Holdings,"4,056"
5695,,Global Unichip,
5696,,Ameren Illinois Company,"9,116"
5697,,"Duckhorn Portfolio, Inc.",474
5698,,Federal Signal Corporation,"3,900"
5699,,Spirit Airlines,"9,823"
5700,,Freee K.k,409
5701,,Sedlmayr Grund Und Immobilien Ag,
5702,,Mahindra & Mahindra Financial Services,"10,000"
5703,,Shanxi Coking,
5704,,Lic Housing Finance,"2,392"
5705,,Ngern Tid Lor Public Company Limited,
5706,,Scatec Solar Asa,494
5707,,Telling Telecommunication Holding,
5708,,Iovance Biotherapeutics,319
5709,,3d Systems Corporation,"1,721"
5710,,Doha Bank,
5711,,Verano Holdings Corp.,
5712,,Goodman Property Trust,
5713,,Rede Energia Participacoes,
5714,,Paltac Corporation,"2,196"
5715,,Gsretail,
5716,,Fox-wizel,
5717,,Bottomline Technologies (de),"2,344"
5718,,Eramet,
5719,,Wangsu Science & Technology,
5720,,Axonics Modulation Technologies,517
5721,,Tkh Group,"5,980"
5722,,Xiamen Itg Group,
5723,,Austevoll Seafood Asa,"6,507"
5724,,Opple Lighting,"6,000"
5725,,Hbm Healthcare Investments Ag,
5726,,Seven Bank,
5727,,Hanwha Corporation,
5728,,Sanoma Oyj,"4,500"
5729,,Portola Pharmaceuticals,
5730,,Zhejiang Medicine,
5731,,House Foods Group,"6,122"
5732,,Ever Sunshine Lifestyle Services Group,
5733,,Pan Ocean,
5734,,"Visional, Inc.",
5735,,Org Technology,
5736,,Yangtze Optical Fibre And Cable Joint Stock Company,
5737,,Pantheon International,
5738,,Towngas China Company,"22,385"
5739,,Zhejiang Kaishan Compressor,
5740,,Cactus,"2,609"
5741,,Neusoft Corporation,
5742,,First Midwest Bancorp,
5743,,Harel Insurance Investments & Financial Services Ltd,
5744,,"Tianjin You Fa Steel Pipe Group Stock Co., Ltd.",
5745,,"Contec Medical Systems Co.,ltd",
5746,,Arcelik Anonim Sirketi,
5747,,Metropole Television,
5748,,Mori Hills Reit Investment Corporation,
5749,,Goldwin,
5750,,Aphria,620
5751,,Carborundum Universal,"5,172"
5752,,Sawai Pharmaceutical,"3,066"
5753,,China Tungsten And Hightech Materials,
5754,,Tibet Cheezheng Tibetan Medicine,
5755,,Enav,
5756,,Brandywine Realty Trust,327
5757,,Kadant,"2,900"
5758,,Suzuken,"15,615"
5759,,Witan Investment Trust,
5760,,Ypsomed Holding Ag,
5761,,Gmo Internet,"5,454"
5762,,Ferrexpo,"8,988"
5763,,Pt Bumi Resources Tbk,
5764,,"Prog Holdings, Inc.","2,023"
5765,,Apt Medical Inc.,
5766,,Tg Therapeutics,286
5767,,"Immunitybio, Inc.",587
5768,,Jade Bird Fire,
5769,,B-soft,
5770,,Eternal Asia Supply Chain Management,
5771,,Pexa Group Limited,
5772,,Anhui Truchum Advanced Materials And Technology,
5773,,Medifast,984
5774,,Datong Coal Industry,
5775,,Nordex Se,
5776,,Ruentex Industries,
5777,,Magellan Health,"10,500"
5778,,Suzhou Hyc Technology,
5779,,Dowa Holdings,"7,000"
5780,,Beijing Jingneng Clean Energy,
5781,,Keihan Holdings,156
5782,,Skillz Inc.,650
5783,,Jiangsu New Energy Development,
5784,,Afi Properties Ltd,
5785,,Beijing Jetsen Technology,
5786,,Shanghai Daimay Automotive Interior Co. Ltd,
5787,,Jiangsu Nhwa Pharmaceutical Co. Ltd,
5788,,Prestige Estates Projects,966
5789,,Jiangsu Hengshun Vinegar-industry,
5790,,Srisawad Corporation Public Company,
5791,,Viela Bio,166
5792,,First Financial Bancorp,"2,123"
5793,,Dong Suh Companies,
5794,,Arcosa,"6,170"
5795,,Fujitsu General,"1,642"
5796,,Sage Therapeutics,471
5797,,Madison Square Garden Entertainment Corp.,"5,800"
5798,,Shuangliang Eco-energy Systems,
5799,,Catena Ab (publ),
5800,,Turk Hava Yollari Anonim Ortakligi,
5801,,Accelink Technologies,
5802,,"Utz Brands, Inc.","3,741"
5803,,Shenzhen International Holdings,"6,918"
5804,,Aluar Aluminio Argentino,
5805,,Qingdao Baheal Medical Inc.,
5806,,Wefox Group,152
5807,,L&p Cosmetic,
5808,,Taiwan Fertilizer,
5809,,Shandong Xinchao Energy Corporation,
5810,,Sundram Fasteners,
5811,,Yulon Finance Corporation,
5812,,Innospec,"1,900"
5813,,Minerals Technologies,"3,961"
5814,,A.p. Eagers,
5815,,Pigeon Corporation,"3,954"
5816,,Pharmaessentia Corporation,
5817,,Yusys Technologies,
5818,,Zhejiang Jiahua Energy Chemical Industry,
5819,,People.cn Co. Ltd,
5820,,First Merchants Corporation,"1,918"
5821,,Covetrus,"5,710"
5822,,Kahoot! Asa,
5823,,City Of London Investment Trust,
5824,,Htc Corporation,
5825,,Befar Group,
5826,,Jiangsu Yulong Steel Pipe,
5827,,Beijing Zhong Ke San Huan High-tech,
5828,,Wasu Media Holding,
5829,,Treehouse Foods,"10,000"
5830,,The Star Entertainment Group,
5831,,Sichuan Changhong Electric,
5832,,Unibel,
5833,,Shenzhen Megmeet Electrical Co. Ltd,
5834,,Chesapeake Utilities Corporation,947
5835,,The City Of London Investment Trust,
5836,,Integrafin Holdings,
5837,,Zhaojin Mining Industry Company,
5838,,Cubic Corporation,"6,200"
5839,,Toyo Tire Corporation,
5840,,Pci-suntek Technology,
5841,,Federal Bank,"12,496"
5842,,"Chongqing Sanfeng Environment Group Corp., Ltd.",
5843,,"Shanying International Holdings Co.,ltd",
5844,,"Latham Group, Inc.",
5845,,Doosan Fuel Cell,
5846,,Societe Bic Sa,
5847,,Turkiye Kalkinma Ve Yatirim Bankasi,
5848,,Kepco Engineering & Construction Company,
5849,,"Willfar Information Technology Co., Ltd.",
5850,,China Tianrui Group Cement Company,
5851,,Irpc Public Company,
5852,,Dic Corporation,"20,242"
5853,,Huadian Fuxin Energy Corporation,
5854,,United Energy Group,"1,903"
5855,,Tecon Biology Co.ltd,
5856,,Aurinia Pharmaceuticals,
5857,,Tootsie Roll Industries,"2,000"
5858,,Hangzhou Binjiang Real Estate Group,
5859,,Piedmont Office Realty Trust,
5860,,Gabelli Dividend & Income Trust,
5861,,Definitive Healthcare Corp.,625
5862,,Fawer Automotive Parts Company,
5863,,Beijing Capital Development,
5864,,Ultra Clean Holdings,"7,066"
5865,,Three Squirrels,
5866,,Jiangsu Financial Leasing,
5867,,Techtarget,"1,000"
5868,,Montea Comm. Va,
5869,,Barnes Group,"5,100"
5870,,Fulgent Genetics,645
5871,,Exscientia Plc,
5872,,Keihin Corporation,
5873,,Customers Bancorp,641
5874,,Bancfirst Corporation,"1,948"
5875,,Ligand Pharmaceuticals,115
5876,,Townebank,"2,617"
5877,,Qatar Navigation,
5878,,Efg International Ag,
5879,,Kcc Corporation,"4,061"
5880,,Zur Rose Group Ag,
5881,,Rlj Lodging Trust,76
5882,,Borregaard Asa,
5883,,Cancom Se,
5884,,Aeon Financial Service,"19,873"
5885,,Teijin,"20,075"
5886,,Manchester United,
5887,,Pao Sovcomflot,
5888,,"Guang Zhou Grg Metrology & Test Co., Ltd.",
5889,,Overstock.com,"1,350"
5890,,Pnc Process Systems,
5891,,Sanwa Holdings Corporation,"11,474"
5892,,Horiba,"8,269"
5893,,"Privia Health Group, Inc.",
5894,,Michaels Companies,"45,000"
5895,,"Sana Biotechnology, Inc.",383
5896,,Jay Mart Public Company,
5897,,Zhejiang Doyin Pump Industry,
5898,,Centerra Gold,"3,400"
5899,,Aarti Industries,"5,200"
5900,,Fintech Group Ag,
5901,,Veracyte,320
5902,,"Semrush Holdings, Inc.",371
5903,,Beijing Compass Technology Development,
5904,,Vallourec,
5905,,Impax Asset Management Group,
5906,,Wesbanco,"2,388"
5907,,Pt Indosat Tbk,"3,708"
5908,,Grupo Cementos De Chihuahua,
5909,,Distell Group Holdings,
5910,,Inner Mongolia Lantai Industrial,
5911,,Ascott Residence Trust,
5912,,Century Communities,"1,600"
5913,,Hangcha Group Co. Ltd,
5914,,Amoy Diagnostics,
5915,,Mebuki Financial Group,"6,581"
5916,,Tokyo Broadcasting System Holdings,"5,271"
5917,,"Zhonghong Pulin Medical Products Co., Ltd.",
5918,,Hotel Shilla,
5919,,Bank Of India,"49,767"
5920,,Telephone And Data Systems,"8,800"
5921,,Nib Holdings,
5922,,Personal Assets Trust,
5923,,Nel Asa,393
5924,,Shanghai Huace Navigation Technology Ltd,
5925,,Moscow City Telephone Network,
5926,,Aptus Value Housing Finance India Limited,
5927,,Xi'an Bright Laser Technologies,
5928,,Gujarat State Petronet,
5929,,Anhui Jiangnan Chemical Industry,
5930,,Brightcom Group Limited,
5931,,Carmila,
5932,,Kehua Hengsheng,
5933,,Parco,
