,company_ceo,company_name
367,,GREAT WALL MOTOR COMPANY
368,Tadashi Yanai,FAST RETAILING
369,David Schwimmer,LONDON STOCK EXCHANGE GROUP
370,Yang-wei Liu,HON HAI PRECISION INDUSTRY
371,Robin Li,BAIDU
372,Tatsuro Kosaka,CHUGAI PHARMACEUTICAL
373,David Simon,SIMON PROPERTY GROUP
374,Robert Gamgort,KEURIG DR PEPPER
375,,S.F. HOLDING
376,,IKEA
377,Jens Bjorn Andersen,DSV PANALPINA
378,XIE Yonglin,PING AN BANK
379,John Pettigrew,NATIONAL GRID TRANSCO
380,Nikesh Arora,PALO ALTO NETWORKS
381,Terrence Curtin,TE CONNECTIVITY
382,Claudio Descalzi,ENI S.P.A.
383,,LUXSHARE PRECISION INDUSTRY
384,Gopal Vittal,BHARTI AIRTEL
385,Thomas P Gibbons,THE BANK OF NEW YORK MELLON CORPORATION
386,Ken Xie,FORTINET
387,,BIONTECH SE
388,Hiroshi Suzuki,HOYA CORPORATION
389,Abdulla Mubarak Al-Khalifa,QATAR NATIONAL BANK
390,Eric Yuan,ZOOM VIDEO COMMUNICATIONS
391,A. James Teague,ENTERPRISE PRODUCTS PARTNERS
392,Deqi Ren,BANK OF COMMUNICATIONS
393,,JIANGSU HENGRUI MEDICINE
394,Charlie Nunn,LLOYDS BANKING GROUP
395,Toshihiro Mibe,HONDA MOTOR
396,Tsuneo Murata,MURATA MANUFACTURING
397,Chi-Foon Chan,SYNOPSYS
398,,WANHUA CHEMICAL GROUP
399,Rangarajan Raghuram,VMWARE
400,Toshio Kagami,ORIENTAL LAND
401,Uday Kotak,KOTAK MAHINDRA BANK
402,Peter Zaffino,AMERICAN INTERNATIONAL GROUP (AIG)
403,Lance Uggla,IHS MARKIT
404,,WUXI APPTEC
405,Bobby Kotick,ACTIVISION BLIZZARD
406,Hilton Schlosberg,MONSTER BEVERAGE CORPORATION
407,,FIRST GULF BANK
408,Oscar Gonzalez Rocha,SOUTHERN COPPER CORPORATION
409,Frank Vang-Jensen Casper von Koskull,NORDEA BANK ABP
410,Charles F. Lowrey,PRUDENTIAL
411,Makoto Takashima,SUMITOMO MITSUI FINANCIAL GROUP
412,Yang Hua,CNOOC LIMITED
413,Olivier Le Peuch,SCHLUMBERGER
414,Richard Adam Norwitt,AMPHENOL CORPORATION
415,Ari Bousbib,IQVIA HOLDINGS
416,David Baszucki,ROBLOX CORP
417,,CITIC SECURITIES COMPANY
418,Neil Hunn,ROPER TECHNOLOGIES
419,Scott D. Sheffield,PIONEER NATURAL RESOURCES COMPANY
420,Michael D. Hsu,KIMBERLY-CLARK CORPORATION
421,Christian Sinding,EQT AB (PUBL)
422,Victor Peng,XILINX
423,Takehiko Kakiuchi,MITSUBISHI CORPORATION
424,Francois Poirier,TC ENERGY CORPORATION
425,,EDEKA GROUP
426,Rob Scott,WESFARMERS
427,C. S. Venkatakrishnan,BARCLAYS PLC
428,Mirko Bibic,BCE (Bell Canada Enterprises)
429,Tom Palmer,NEWMONT CORPORATION
430,Simon A Borrows,3I GROUP
431,Vladimir Potanin,MMC NORILSK NICKEL
432,C Vijayakumar,HCL TECHNOLOGIES
433,Mads Nipper,ORSTED A/S
434,Bruce D. Broussard,HUMANA
435,Jay Mazelsky,IDEXX LABORATORIES
436,,NIO INC
437,John Rim,SAMSUNG BIOLOGICS
438,Rosalind Brewer,WALGREENS BOOTS ALLIANCE
439,Martin Mucci,PAYCHEX
440,,MUYUAN FOODS
441,Philippe Brassac,CREDIT AGRICOLE
442,Bill Newlands,CONSTELLATION BRANDS
443,Gilles Andrier,GIVAUDAN SA
444,Anirudh Devgan,CADENCE DESIGN SYSTEMS
445,Gregory D. Johnson,O'REILLY AUTOMOTIVE
446,Amit Syngle,ASIAN PAINTS
447,,LULULEMON ATHLETICA
448,,SPACEX
449,,STRIPE
450,Brian Humphries,COGNIZANT TECHNOLOGY SOLUTIONS
451,Masahiro Okafuji,ITOCHU CORPORATION
452,Kevin P. Clark,APTIV
453,Miguel Patricio,KRAFT HEINZ COMPANY
454,A. William Stein,DIGITAL REALTY TRUST
455,Kevin R. Sayer,DEXCOM
456,Henry A. Fernandez,MSCI
457,Bom Suk Kim,"COUPANG, INC."
458,Ganesh Moorthy,MICROCHIP TECHNOLOGY
459,Jean-Marc Chery,STMICROELECTRONICS
460,Tony Xu,DOORDASH
461,Nick Akins,AMERICAN ELECTRIC POWER COMPANY
462,Elizabeth Gaines,FORTESCUE METALS GROUP
463,Brian Niccol,CHIPOTLE MEXICAN GRILL
464,,TRAFIGURA
465,,TRANE TECHNOLOGIES PLC
466,,LINKEDIN
467,David Gitlin,CARRIER GLOBAL
468,Olivier Pomel,DATADOG
469,Michael F. Neidorff,CENTENE CORPORATION
470,Benjamin William Keswick,JARDINE MATHESON HOLDINGS
471,Michael S. Dell,DELL TECHNOLOGIES
472,Hak Cheol Shin,LG CHEM
473,Jeffrey W. Martin,SEMPRA ENERGY
474,,PT BANK RAKYAT INDONESIA (PERSERO) TBK
475,William J Stromberg,T. ROWE PRICE GROUP
476,Michael R. McMullen,AGILENT TECHNOLOGIES
477,Jose E. Almeida,BAXTER INTERNATIONAL
478,Fitterling,DOW Inc
479,Michael J. Hennigan,MARATHON PETROLEUM CORPORATION
480,,WUXI BIOLOGICS (CAYMAN)
