,company_location,company_industry,company_revenue,company_name,company_employees,company_website
2975,"Bahnhofstrasse 36, Zuerich, 8001",Financial Services,$13.5B,Julius Baer,"6,667",www.juliusbaer.com
2976,"2-4-8, Daiba, Minato-Ku, Tokyo, 137-8088",Media,$1.9B,Fuji Media Holdings Inc,"6,492",www.fujimediahd.co.jp
2977,"43rd Floor Robinsons Equitable Tower, Ortigas Center, Adb Avenue Corner, P. Poveda Street, Pasig, 1600",Consumer Packaged Goods,$7.8B,JG Summit Holdings Inc,"22,827",www.jgsummit.com.ph
2978,"Tsingtao Brewery Mansion, Wusi Square, Hong Kong Middle Road, Qingdao, Shandong , 266071",Consumer Packaged Goods,$17.7B,Tsingtao Brewery Co Ltd,"32,947",www.tsingtao.com.cn
2979,"1 Corporate Way, Lansing, Michigan, 48951",Financial Services,,Jackson National Life Insurance Co,,www.jackson.com/
2980,"Calzada Del Valle 407 Oriente Del Valle, San Pedro Garza Garcia, 66220",Consumer Packaged Goods,$5.4B,Gruma SAB de CV,"23,511",www.gruma.com
2981,"20 S Wacker Dr, Chicago, Illinois, 60606",Financial Services,$63.2B,CME Group Inc,"3,480",www.cmegroup.com
2982,"Wienerbergerplatz 1, 1100",Construction,$3.2B,Wienerberger AG,"19,002",www.wienerberger.com
2983,"Room 2503, Admiralty Centre, Tower 1, 18 Harcourt Road, Hong Kong",Construction,$889.8M,Poly Property Group Co Ltd,"8,799",www.polyhongkong.com.hk
2984,"Loxley House, 2 Oakwood Court, Little Oak Drive, Nottingham, NG150DR",Automotive,$336.3M,Pendragon PLC,"5,254",www.pendragonplc.com
2985,"30, Munhyeongeumyung-Ro, Nam-Gu, Busan, 48400",Financial Services,$1.9B,BNK Financial Group Inc,80,www.bnkfg.com
2986,"825 Town And Country Ln Ste 1500, Houston, Texas, 77024-2235",Energy and Utilities,$1.4B,Par Pacific Holdings Inc,"1,336",www.parpacific.com
2987,"No.83 Yellow River Road, Rare-Earth Hi-Tech Industrial Dev Zone, Baotou, 014030",Metals and Mining,$14.5B,China Northern Rare Earth Group High-Tech Co Ltd,"9,511",www.reht.com
2988,"Urbannet Nagoya Bldg., 1-1-10, Higashisakura, Higashi-Ku, Nagoya-Shi, Aichi, 461-8581",Metals and Mining,$1.5B,Daido Steel Co Ltd,"12,605",www.daido.co.jp
2989,"80 Strand, London, Greater London, WC2R0RL",Media,$8.2B,Pearson plc,"20,744",www.pearson.com
2990,"No. 6 Yongpingmen Street, Jiangbei District, Chongqing, 400024",Financial Services,$2.8B,Bank of Chongqing Co Ltd,"4,839",www.cqcbank.com
2991,"56 Top Gallant Rd, Po Box 10212, Stamford, Connecticut, 06904-2212",Business and Consumer Services,$26.1B,Gartner Inc,"16,600",www.gartner.com/en
2992,"168 Robinson Road, #30-01 Capital Tower, Singapore, 068912",Construction,,CapitaLand Group Pte Ltd,"10,473",www.capitaland.com/international/en.html
2993,"1133 Innovation Way, Sunnyvale, California, 94089",Technology and Communications,$10.4B,Juniper Networks Inc,"10,191",www.juniper.net
2994,"5601 N Macarthur Blvd, Irving, Texas, 75038",Consumer Packaged Goods,$10.4B,Darling Ingredients Inc,"9,900",www.darlingii.com
2995,"87, M.G. Road, Fort, Mumbai, 400001",Financial Services,$2.6B,The New India Assurance Co Ltd,"13,929",www.newindia.co.in
2996,"L 8 28 Freshwater Pl, Southbank, Victoria, 3006",Chemicals,$5.2B,Incitec Pivot Ltd,"5,000",www.incitecpivot.com.au
2997,"2 Waterhouse Square, 140, Birmingham, West Midlands, 00000",Media,$3.9B,ITV plc,"6,315",www.itvplc.com
2998,"25f, No. 7, Jinyuan Road, Jiangbei District, Chongqing, 400020",Pharmaceuticals and Healthcare,$24.5B,Chongqing Zhifei Biological Products Co Ltd,"4,800",www.zhifeishengwu.com
2999,"Pier 1 Bay 1, San Francisco, California, 94111",Construction,$113.2B,Prologis Inc,"2,053",www.prologis.com
3000,"2. Bd Moulay Youssef Bp: 11141, Casablanca, 20000",Financial Services,$7.9B,Attijariwafa Bank SA,"20,590",www.attijariwafabank.com
3001,"1616 Woodall Rodgers Fwy, Dallas, Texas, 75202",Power,,Oncor Electric Delivery Co LLC,"4,537",www.oncor.com
3002,"2500 Innovation Way N, Greenfield, Indiana, 46140-9163",Pharmaceuticals and Healthcare,$6.0B,Elanco Animal Health Inc,"9,000",www.elanco.com
