,company_ceo,company_country,company_founded,company_industry,company_name,company_rank
5553,Not found,China,Not found,"['Financial Services', 'Stock Markets, Trading, Capital Markets']",POLARIS BAY GROUP,5281
5554,Not found,USA,2004,"['Financial Services', 'Infrastructure', 'Asset Management']",COHEN & STEERS INFRASTRUCTURE FUND,5280
5555,Not found,Japan,1958,"['Technology', 'Software and IT']",NIHON UNISYS,5279
5556,Not found,Canada,1990,"['Utilities', 'Electric Utilities', 'Electricity Generation', 'Power Generation', 'Renewable Energy']",INNERGEX RENEWABLE ENERGY,5278
5557,Not found,USA,1970,"['Healthcare', 'Machinery Manufacturing', 'Manufacturing', 'Medical Equipment']",INTEGER HOLDINGS CORPORATION,5275
5558,Not found,USA,Not found,"['Financial Services', 'Asset Management']",BLACKROCK HEALTH SCIENCES TRUST II,5276
5559,Not found,USA,2016,"['Software and IT Infrastructure', 'Technology']",EVERCOMMERCE INC.,5274
5560,Not found,Jersey,Not found,"['Brokerage Services', 'Financial Services', 'Analytics', 'Commodities Trading', 'Trading']",TP ICAP GROUP PLC,5282
5561,Not found,Switzerland,Not found,"['Technology', 'Technology Hardware and Instruments']",COMET HOLDING AG,5290
5562,Not found,Israel,1928,['Real Estate'],GAV-YAM LANDS CORP. LTD,5285
5563,Not found,France,2011,"['Basic Materials', 'Metal Fabrication Products', 'Engineering Products', 'Aluminum', 'Automobile Parts', 'Aerospace Products', 'Packaging Materials']",CONSTELLIUM SE,5291
5564,Not found,USA,2015,"['Consumer Defensive', 'Personal Care Products', 'FMCG']",EDGEWELL PERSONAL CARE COMPANY,5286
5565,Not found,China,Not found,"['Industries', 'Heavy Machinery']",SHANGHAI DIESEL ENGINE,5287
5566,Not found,China,Not found,"['Technology', 'Electronics', 'Semiconductors']",SHENZHEN FINE MADE ELECTRONICS GROUP,5288
5567,Not found,Canada,2002,"['Basic Materials', 'Mining', 'Metals', 'Silver Mining']",FIRST MAJESTIC SILVER,5289
5568,Not found,China,Not found,"['Basic Materials', 'Iron and Steel']",ZHEJIANG JIULI HI-TECH METALS,5284
5569,Not found,Qatar,1983,"['Financial Services', 'Banking Services']",AHLI BANK,5283
5570,Not found,China,Not found,"['Industries', 'Industry Machinery']",SHANGHAI ZHENHUA HEAVY INDUSTRIES,5298
5571,Not found,Japan,1952,"['Communication Services', 'Broadcasting']",NIPPON TELEVISION HOLDINGS,5293
5572,Not found,USA,Not found,"['Healthcare', 'Pharmaceutical', 'HealthCare Products', 'Biotechnology', 'Technology']",MOMENTA PHARMACEUTICALS,5297
5573,Not found,Mexico,1998,"['Industries', 'Airports Operating', 'Transportation']",GRUPO AEROPORTUARIO DEL CENTRO NORTE,5297
5574,Not found,Spain,Not found,"['Industries', 'Logistics']",COMPANIA DE DISTRIBUCION INTEGRAL LOGISTA HOLDINGS,5292
5575,Not found,USA,1939,"['Healthcare', 'Healthcare Service', 'Technology', 'Healthcare Technology and Information']","AGILITI, INC.",5295
5576,Not found,India,1967,"['Basic Materials', 'Chemicals']",NAVIN FLUORINE INTERNATIONAL,5294
5577,Not found,Canada,2010,"['Basic Materials', 'Metals', 'Precious Metals', 'Gold Mining', 'Mining']",PRETIUM RESOURCES,5300
5578,Not found,China,Not found,"['Consumer Cyclical', 'Automobile', 'Automobile Parts']",JIANGSU XINQUAN AUTOMOTIVE TRIM,5301
5579,Not found,Canada,2013,"['Energy', 'Oil and Gas']",PRAIRIESKY ROYALTY,5299
5580,Not found,Australia,2009,"['Basic Materials', 'Mining']",MMG LIMITED,5302
5581,Not found,USA,1995,"['Real Estate', 'Hotels', 'Consumer Services', 'Property Investments']",SUNSTONE HOTEL INVESTORS,5308
5582,Not found,China,Not found,"['Healthcare', 'Medical Equipment']",BLUE SAIL MEDICAL,5304
5583,Not found,China,Not found,"['Industries', 'Batteries', 'Electrical Products']",CAMEL GROUP,5309
5584,Not found,China,Not found,"['Railway', 'Railway Vehicles and Railway Components', 'Infrastructure', 'Utilities']",JIANGSU ZHONGNAN CONSTRUCTION GROUP,5306
5585,Not found,China,Not found,['Real Estate'],"JINKE SMART SERVICES GROUP CO., LTD.",5310
5586,Not found,China,Not found,"['Healthcare', 'Pharmaceutical', 'HealthCare Products']",HUBEI BIOCAUSE PHARMACEUTICAL,5307
5587,Not found,China,Not found,"['Technology', 'Solar Power Devices']",XINTE ENERGY,5311
5588,Not found,Japan,1957,"['Financial Services', 'Banking Services']",AOZORA BANK,5305
