,company_ceo,company_country,company_founded,company_industry,company_name,company_rank
14,Andrew Witty,USA,1977,"['Healthcare', 'Healthcare Service', 'Insurance', 'HealthCare Products']",UNITEDHEALTH GROUP,16
15,William C. Weldon,USA,1886,"['Healthcare', 'Medical Equipment', 'Pharmaceutical', 'FMCG', 'Biotechnology', 'Technology', 'HealthCare Products']",JOHNSON & JOHNSON,14
16,William B. Harrison Jr.,USA,2000,"['Financial Services', 'Banking Services', 'Credit Cards', 'Asset Management']",J P MORGAN CHASE & CO,12
17,Brian Moynihan,USA,1998,"['Financial Services', 'Banking Services', 'Investment Banking', 'Insurance', 'Credit Cards', 'Wealth Management', 'Asset Management', 'Mortgage']",BANK OF AMERICA CORPORATION,19
18,Alfred F Kelly Jr,USA,1958,"['Financial Services', 'Technology', 'Software and IT', 'Credit Cards', 'Digital Payment Solution Services', 'Business Services', 'Software Products', 'Artificial Intelligence']",VISA,13
19,Ma Huateng,China,1998,"['Communication Services', 'Investments', 'Internet or Mobile App Based Business', 'Advertising', 'Media', 'Gaming', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Artificial Intelligence', 'Software and IT', 'Software Products', 'Technology']",TENCENT,11
20,Albert Bourla,USA,1849,"['Healthcare', 'Pharmaceutical', 'HealthCare Products', 'Biotechnology', 'Technology']",PFIZER,27
21,Michael Miebach,USA,1966,"['Digital Payment Solution Services', 'Financial Services', 'Credit Cards', 'Technology', 'Business Services', 'Artificial Intelligence']",MASTERCARD,24
22,Daniel Zhang,China,1999,"['eCommerce', 'Internet or Mobile App Based Business', 'Technology', 'Software and IT', 'Business Services', 'Software Products', 'Retail', 'B2B Services']",ALIBABA GROUP HOLDING,26
23,Li Bao Fang,China,1999,"['Consumer Defensive', 'Beverages', 'Alcoholic Beverages', 'Food Products', 'FMCG', 'Food and Beverage']",KWEICHOW MOUTAI,22
24,Christoph Franz,Switzerland,1896,"['Healthcare', 'Pharmaceutical', 'Medical Equipment', 'Biotechnology', 'Healthcare Service', 'Technology', 'HealthCare Products']",ROCHE HOLDING AG,25
25,Gerard Kleisterlee,Netherlands,1984,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments']",ASML HOLDING,28
26,Suresh Narayanan,Switzerland,1866,"['Consumer Defensive', 'FMCG', 'Food Products', 'Beverages', 'Dairy Products', 'Non-Alcoholic Beverages', 'Chocolate & Confectionery', 'Coffee', 'Consumer Non Durables', 'Food and Beverage', 'Package Foods']",NESTLE AG,23
27,Jon R. Moeller,USA,1837,"['Consumer Defensive', 'FMCG', 'Consumer Non Durables', 'Beauty and Personal Care', 'Personal Care Products', 'HealthCare Products']",PROCTER & GAMBLE COMPANY,21
28,Susan Arnold,USA,1923,"['Communication Services', 'Broadcasting', 'Television Services', 'Media', 'Advertising', 'Consumer Services', ""TV's"", 'Entertainment']",THE WALT DISNEY COMPANY,30
29,Darren W. Woods,USA,1999,"['Energy', 'Oil and Gas', 'Petrochemicals', 'Natural Gas Generation', 'Electricity Generation', 'Chemicals', 'Plastics / Plastic Products']",EXXON MOBIL CORPORATION,29
30,Henry Samueli,USA,1991,"['Technology', 'Electronics', 'Semiconductors', 'Processors / Chips', 'Networking Products / Solutions', 'Network Hardware and Software', 'Software Products', 'Software and IT']",BROADCOM,34
31,Jean Paul Agon,France,1909,"['Consumer Defensive', 'Cosmetics', 'Beauty and Personal Care', 'FMCG', 'Consumer Non Durables', 'Consumer Goods']",L'OREAL,37
32,Shantanu Narayen,USA,1982,"['Technology', 'Software and IT', 'Software Products', 'Software and IT Infrastructure', 'Artificial Intelligence']",ADOBE,40
33,James Quincey,USA,1892,"['Consumer Defensive', 'Beverages', 'Non-Alcoholic Beverages', 'FMCG', 'Consumer Non Durables']",COCA-COLA COMPANY,32
34,Koos Bekker,Netherlands,1997,"['Communication Services', 'Internet or Mobile App Based Business', 'eCommerce', 'Technology', 'Investments']",PROSUS,35
35,Chen Siqing,China,1984,"['Financial Services', 'Banking Services', 'Investment Banking']",ICBC,36
36,Juan R. Luciano,USA,1876,"['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology']",ELI LILLY AND COMPANY,39
37,Chuck Robbins,USA,1984,"['Technology', 'Network Hardware and Software', 'Telecom Equipment', 'Internet of Things', 'Computers Hardware', 'Software and IT', 'Communications Equipment']",CISCO SYSTEMS,33
38,Takeshi Uchiyamada,Japan,1937,"['Automobile', 'Cars', 'Capital Goods', 'Passenger Vehicles']",TOYOTA MOTOR CORPORATION,31
39,Mark Parker,USA,1964,"['Consumer Cyclical', 'Shoes', 'Footwear', 'Sports Goods', 'Consumer Non Durables']",NIKE,38
40,Reed Hastings,USA,1997,"['Communication Services', 'Electronics', 'Internet or Mobile App Based Business', 'Media', 'Advertising', 'Television Services', ""TV's"", 'Entertainment', 'Artificial Intelligence']",NETFLIX,44
41,Larry Ellison,USA,1977,"['Technology', 'Software and IT', 'Software Products', 'Cloud Services', 'Software and IT Infrastructure']",ORACLE CORPORATION,49
42,Marc N. Casper,USA,2006,"['Healthcare', 'Medical Equipment', 'Pharmaceutical', 'Technology Hardware and Instruments', 'Electronics', 'Software Products', 'Biotechnology', 'Capital Goods', 'Machinery Manufacturing', 'Software and IT', 'Technology', 'Manufacturing', 'Health Care Diagnostics']",THERMO FISHER SCIENTIFIC,45
43,Robert Ford,USA,1888,"['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology', 'Medical Equipment']",ABBOTT LABORATORIES,43
44,Ratan N Tata,India,Not found,Not found,TATA GROUP,44
45,Ramon L. Laguarta,USA,1898,"['Consumer Defensive', 'Beverages', 'Food Products', 'FMCG', 'Consumer Non Durables', 'Food and Beverage', 'Non-Alcoholic Beverages']",PEPSICO,42
46,Pierre Nanterme,Ireland,1989,"['Technology', 'Software and IT', 'Software Products', 'Software Consulting Services', 'Software Outsourcing Services', 'Business Services', 'Consulting Services', 'Outsourcing and Staffing', 'Artificial Intelligence']",ACCENTURE,48
47,mike wirth,USA,1879,"['Energy', 'Oil and Gas', 'Chemicals', 'Natural Gas Generation', 'Petrochemicals', 'Electricity Generation']",CHEVRON CORPORATION,41
48,Hamilton E. James,USA,1983,"['Consumer Defensive', 'Retail', 'eCommerce', 'Food Service', 'Hypermarkets', 'Consumer Services', 'Travel and Transport']",COSTCO WHOLESALE CORPORATION,47
49,Richard A. Gonzalez,USA,2013,"['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology']",ABBVIE,46
50,Helge Lund,Denmark,1923,"['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology']",NOVO NORDISK A/S,50
51,Rainer M. Blair,USA,1969,"['Healthcare', 'Medical Equipment', 'HealthCare Products', 'Machinery Manufacturing', 'Capital Goods', 'Technology', 'Manufacturing', 'Health Care Diagnostics']",DANAHER CORPORATION,58
52,Brian L. Roberts,USA,1963,"['Communication Services', 'Television Services', 'Broadcasting', 'Telecom', 'Internet Providers', 'Media', 'Advertising', 'Consumer Services', 'Entertainment', 'Cable Operator']",COMCAST CORPORATION,51
53,Steven Black,USA,1852,"['Financial Services', 'Banking Services', 'Insurance', 'Credit Cards', 'Asset Management']",WELLS FARGO & COMPANY,56
54,Kenneth C. Frazier,USA,1970,"['Healthcare', 'Pharmaceutical', 'Animal Healthcare Companies', 'Animal Health Medicine', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology']",MERCK & CO,59
55,Mukesh Ambani,India,1973,"['Energy', 'Conglomerate', 'Oil and Gas', 'Chemicals', 'Telecom', 'Retail', 'Petrochemicals', 'Textile', 'eCommerce', 'Super Markets', 'Technology']",RELIANCE INDUSTRIES,54
56,John J. Donahoe,USA,1998,"['Financial Services', 'Digital Payment Solution Services', 'Internet or Mobile App Based Business', 'Software Products', 'Business Services', 'Software and IT']",PAYPAL HOLDINGS,55
57,Hans Vestberg,USA,1983,"['Communication Services', 'Telecom', 'Fixed Line Service', 'Mobile Services', 'Internet Providers', 'Television Services', 'Media', 'Advertising', 'Utilities', 'Telecom Equipment']",VERIZON COMMUNICATIONS,52
58,Marc Benioff,USA,1999,"['Technology', 'Cloud Services', 'Artificial Intelligence', 'Software Products', 'Software and IT']",SALESFORCE.COM,53
59,Patrick P. Gelsinger,USA,1968,"['Technology', 'Software and IT', 'Technology Hardware and Instruments', 'Processors / Chips', 'Computers Hardware', 'Semiconductors', 'Mobiles & Accessories', 'Memory Products', 'Artificial Intelligence', 'Internet of Things', 'Electronics', 'Consumer Electronics', 'Software Products']",INTEL CORPORATION,57
60,Ying Ming Wu,China,2011,"['Industries', 'Batteries', 'Automobile Parts', 'Electronics', 'Technology', 'Electric Vehicles', 'Electrical Products']",CONTEMPORARY AMPEREX TECHNOLOGY,64
61,MIAO Jianmin,China,1987,"['Financial Services', 'Banking Services', 'Asset Management', 'Credit Cards']",CHINA MERCHANTS BANK,62
62,William R. Johnson,USA,1907,"['Industries', 'Courier', 'Logistics', 'Transportation', 'Freight Transport']",UNITED PARCEL SERVICE (UPS),66
63,Joerg Reinhardt,Switzerland,1996,"['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology']",NOVARTIS AG,61
64,Enrique Hernandez,USA,1940,"['Consumer Cyclical', 'Restaurants', 'Food Products', 'Non-Alcoholic Beverages', 'Consumer Services', 'Entertainment', 'Beverages']",MCDONALD'S CORPORATION,63
65,Tian Guoli,China,1954,"['Financial Services', 'Banking Services']",CHINA CONSTRUCTION BANK CORPORATION,69
66,James P. Gorman,USA,1931,"['Financial Services', 'Banking Services', 'Trading', 'Brokerage Services', 'Wealth Management', 'Investments', 'Asset Management', 'Stock Markets, Trading, Capital Markets']",MORGAN STANLEY,68
67,N. Chandrasekaran,India,1968,"['Technology', 'Software and IT', 'Software Consulting Services', 'Software Outsourcing Services', 'Software Products', 'Consulting Services', 'Outsourcing and Staffing']",TATA CONSULTANCY SERVICES (TCS),65
68,Paul E. Jacobs,USA,1985,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments', 'Telecom Equipment', 'Processors / Chips', 'Connectivity Technology', 'Artificial Intelligence', 'Internet of Things', 'Software Products', 'Software and IT']",QUALCOMM,60
69,Edward Whitacre Jr.,USA,1983,"['Telecom', 'Communication Services', 'Internet Providers', 'Mobile Services', 'Fixed Line Service', 'Television Services', 'Media', 'Advertising', 'Utilities', 'Telecom Equipment']",AT&T,67
70,Ken MacKenzie,Australia,1885,"['Basic Materials', 'Metals', 'Mining', 'Iron and Steel', 'Oil and Gas', 'Coal Mining', 'Copper Mining', 'Nickel', 'Natural Gas Generation', 'Precious Metals']",BHP GROUP,79
71,Charles R. Schwab,USA,1971,"['Financial Services', 'Banking Services', 'Brokerage Services', 'Asset Management', 'Investments', 'Stock Markets, Trading, Capital Markets']",THE CHARLES SCHWAB CORPORATION,72
72,Steve Angel,UK,1879,"['Basic Materials', 'Chemicals', 'Industrial Gases']",LINDE AG,74
73,Leif Johansson,UK,1999,"['Healthcare', 'Pharmaceutical', 'Biopharmaceutical', 'Biotechnology', 'HealthCare Products', 'Technology']",ASTRAZENECA,71
74,Axel Dumas,France,1837,"['Consumer Cyclical', 'Luxury Goods', 'Retail', 'Fashion and Luxury Goods', 'Beauty and Personal Care', 'Home & Furniture', 'Home Furnishing', 'Shoes', 'Jewellery', 'Watches', 'Leather Products', 'FMCG', 'Consumer Goods']",HERMES INTERNATIONAL,73
75,James L Robo,USA,1984,"['Utilities', 'Electricity Generation', 'Electric Utilities', 'Utilities', 'Renewable Energy', 'Solar Power', 'Wind Power', 'Power Generation', 'Energy']",NEXTERA ENERGY,75
76,Andrew Mackenzie,Netherlands,1907,"['Energy', 'Oil and Gas', 'Chemicals', 'Natural Gas Generation', 'Electricity Generation', 'Petrochemicals', 'Electric Vehicle Charging Station']",ROYAL DUTCH SHELL,70
77,Lance M. Fritz,USA,1862,"['Industries', 'Freight Transport', 'Transportation', 'Railway', 'Railway Vehicles and Railway Components', 'Infrastructure']",UNION PACIFIC CORPORATION,78
78,Thomas J Engibous,USA,1951,"['Technology', 'Semiconductors', 'Electronics', 'Processors / Chips', 'Sensors']",TEXAS INSTRUMENTS,77
79,Marvin Ellison,USA,1921,"['Consumer Cyclical', 'Retail', 'Home Furnishing', 'Home & Furniture', 'Consumer Services']",LOWE'S COMPANIES,76
80,Wang Xing,China,2010,"['Consumer Cyclical', 'Internet or Mobile App Based Business', 'Software and IT', 'Retail', 'eCommerce']",MEITUAN DIANPING,83
81,Kenichiro Yoshida,Japan,1946,"['Technology', 'Electronics', 'Mobiles', 'Gaming', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Cameras & Accessories', 'Technology Hardware and Instruments', ""TV's"", 'Consumer Electronics', 'Mobiles & Accessories']",SONY CORPORATION,86
82,Hector de J. Ruiz,USA,1969,"['Technology', 'Technology Hardware and Instruments', 'Processors / Chips', 'Semiconductors', 'Electronics']",ADVANCED MICRO DEVICES (AMD),85
83,Darius Adamczyk,USA,1906,"['Industries', 'Software Products', 'Technology Hardware and Instruments', 'Aerospace Products', 'Building Automation', 'Engineering Products', 'Automobile Parts', 'Electronics', 'Robotics', 'Automation', 'Automobile', 'Software and IT', 'Aerospace and Defense', 'Technology', 'Space Products']",HONEYWELL INTERNATIONAL,89
84,Peter Ma,China,1988,"['Financial Services', 'Banking Services', 'Insurance']",PING AN INSURANCE (GROUP) COMPANY OF CHINA,88
85,David I. McKay,Canada,1864,"['Financial Services', 'Banking Services', 'Wealth Management', 'Asset Management', 'Credit Cards', 'Mortgage', 'Insurance']",ROYAL BANK OF CANADA,84
86,Jacek Olczak,USA,1847,"['Consumer Defensive', 'Tobacco Products', 'Cigarettes', 'Agriculture Products', 'FMCG', 'Consumer Non Durables', 'Tobacco and Cigarette']",PHILIP MORRIS INTERNATIONAL,87
87,Gu Shu,China,1979,"['Financial Services', 'Banking Services']",AGRICULTURAL BANK OF CHINA,81
88,Hasso Plattner,Germany,1972,"['Technology', 'Software and IT', 'Software Products', 'Internet of Things', 'Cloud Services']",SAP SE,80
89,Suzanne Nora Johnson,USA,1983,"['Technology', 'Software and IT', 'Software Products']",INTUIT,82
90,Tobias Albin Lutke,Canada,2004,"['Technology', 'Software and IT', 'Software Products', 'Cloud Services', 'eCommerce', 'Internet or Mobile App Based Business']",SHOPIFY,93
91,Yu Nakata,Japan,1974,"['Technology', 'Sensors', 'Machinery Manufacturing', 'Technology Hardware and Instruments', 'Electronics', 'Manufacturing']",KEYENCE CORPORATION,94
92,Dai Houliang,China,1999,"['Energy', 'Oil and Gas', 'Petrochemicals', 'Natural Gas Generation', 'Chemicals']",PETROCHINA COMPANY,91
93,Pietro Beccari,France,1946,"['Consumer Cyclical', 'Retail', 'Luxury Goods', 'Fashion and Luxury Goods', 'Watches', 'Beauty and Personal Care', 'Leather Products', 'Jewellery', 'FMCG', 'Consumer Non Durables', 'Consumer Goods']",CHRISTIAN DIOR,92
94,Mr. Pouyanne,France,1924,"['Energy', 'Oil and Gas', 'Chemicals', 'Natural Gas Generation', 'Power Generation', 'Electricity Generation', 'Oil Refining']",TOTALENERGIES SE,98
95,Dr. Caforio,USA,1887,"['Healthcare', 'Pharmaceutical', 'Biopharmaceutical', 'Biotechnology', 'HealthCare Products', 'Technology']",BRISTOL-MYERS SQUIBB COMPANY,96
96,David W. Dorman,USA,1996,"['Healthcare', 'Pharmacy', 'Healthcare Service', 'Retail', 'HealthCare Products', 'Insurance']",CVS HEALTH CORPORATION,99
97,Geoff Martha,Ireland,1949,"['Healthcare', 'Medical Equipment', 'Biotechnology', 'Electronics', 'HealthCare Products', 'Healthcare Service', 'Technology']",MEDTRONIC,95
98,Brian M. Levitt,Canada,1955,"['Financial Services', 'Banking Services', 'Insurance']",TORONTO-DOMINION BANK,90
99,Jim Hagemann Snabe,Germany,1847,"['Industries', 'Infrastructure', 'Technology Hardware and Instruments', 'Software and IT', 'Railway Vehicles and Railway Components', 'Engineering Products', 'Medical Equipment', 'Software Products', 'Security Systems and Solutions', 'Artificial Intelligence', 'Machinery Manufacturing', 'Conglomerate', 'Railway', 'Technology', 'Electric Vehicle Charging Station']",SIEMENS,97
100,Liu Liange,China,1912,"['Financial Services', 'Banking Services', 'Insurance', 'Asset Management']",BANK OF CHINA,102
101,Hans Dieter Potsch,Germany,1937,"['Consumer Cyclical', 'Automobile', 'Cars', 'Commercial Vehicles', 'Sports Vehicles', 'Passenger Vehicles']",VOLKSWAGEN,106
102,Stephen J. Squeri,USA,1850,"['Financial Services', 'Banking Services', 'Credit Cards', 'Technology', 'Digital Payment Solution Services']",AMERICAN EXPRESS COMPANY,105
103,Noel Quinn,UK,1865,"['Financial Services', 'Banking Services', 'Insurance', 'Asset Management']",HSBC HOLDINGS,108
104,Dieter Schwarz,Germany,Not found,"['Retail', 'Super Markets', 'Hypermarkets']",SCHWARZ GROUP,103
105,Timotheus Hottges,USA,1994,"['Communication Services', 'Telecom', 'Mobile Services', 'Internet Providers', 'Utilities', 'Telecom Equipment']",T-MOBILE US,101
106,Sanjiv Mehta,Netherlands,1929,"['Consumer Defensive', 'FMCG', 'Beauty and Personal Care', 'Food Products', 'Home Care Products', 'Consumer Non Durables']",UNILEVER GROUP,100
107,Thomas J. Iannotti,USA,1967,"['Power Equipment', 'Mobiles & Accessories', 'Semiconductors']",APPLIED MATERIALS,107
108,Gregory J. Hayes,USA,1934,"['Industries', 'Aerospace and Defense', 'Aerospace Products', 'Aircraft Parts', 'Defense Products', 'Elevators', 'Escalators', 'Building Automation', 'Security Systems and Solutions', 'Capital Goods', 'Automation', 'Space Products']",RAYTHEON TECHNOLOGIES CORPORATION,104
109,Laurence D,USA,1988,"['Financial Services', 'Asset Management', 'Investments']",BLACKROCK,103
110,David Solomon,USA,1869,"['Financial Services', 'Banking Services', 'Asset Management', 'Investments', 'Brokerage Services', 'Securities', 'Stock Markets, Trading, Capital Markets']",THE GOLDMAN SACHS GROUP,109
111,Zeng Congqin,China,1998,"['Consumer Defensive', 'Alcoholic Beverages', 'Beverages']",WULIANGYE YIBIN,110
112,Robert A. Bradway,USA,1980,"['Healthcare', 'Pharmaceutical', 'Biopharmaceutical', 'Biotechnology', 'HealthCare Products', 'Technology']",AMGEN,113
113,John C. Dugan,USA,1998,"['Financial Services', 'Banking Services', 'Asset Management']",CITI GROUP,111
114,Serge Weinberg,France,1973,"['Healthcare', 'Pharmaceutical', 'HealthCare Products']",SANOFI,116
115,Yang Jie,China,1997,"['Communication Services', 'Telecom', 'Internet Providers', 'Mobile Services', 'Fixed Line Service', 'Television Services', 'Utilities', 'Telecom Equipment']",CHINA MOBILE,112
116,Susan Wojcicki,USA,2005,"['Social Media', 'Internet or Mobile App Based Business', 'Technology', 'Artificial Intelligence']",YOUTUBE,113
117,Howard Schultz,USA,1971,"['Consumer Cyclical', 'Restaurants', 'Retail', 'Non-Alcoholic Beverages', 'Coffee', 'Beverages', 'Consumer Services']",STARBUCKS CORPORATION,117
118,William P. Lauder,USA,1946,"['Consumer Defensive', 'FMCG', 'Personal Care Products', 'Beauty and Personal Care', 'Cosmetics', 'Consumer Non Durables']",ESTEE LAUDER COMPANIES,114
119,Dave Calhoun,USA,1916,"['Industries', 'Aeroplane', 'Defense Products', 'Rockets', 'Missiles', 'Satellites', 'Space Products', 'Aerospace Products', 'Aircrafts', 'Capital Goods', 'Aerospace and Defense', 'Technology']",BOEING COMPANY,115
120,Catherine Livingstone AO,Australia,1911,"['Financial Services', 'Banking Services']",COMMONWEALTH BANK OF AUSTRALIA,118
121,Javier Ferran,UK,1997,"['Consumer Defensive', 'Beverages', 'Alcoholic Beverages', 'FMCG', 'Consumer Non Durables']",DIAGEO,120
122,Lee Yuan Siong,Hong Kong,1919,"['Financial Services', 'Insurance']",AIA GROUP,119
123,Atanu Chakraborty,India,1994,"['Financial Services', 'Banking Services']",HDFC BANK,127
124,Craig H. Barratt ,USA,1995,"['Healthcare', 'Medical Equipment', 'HealthCare Products', 'Robotics']",INTUITIVE SURGICAL,126
125,Jim Umpleby,USA,1925,"['Industries', 'Agriculture Machinery', 'Machinery Manufacturing', 'Construction Equipment', 'Commercial Vehicles', 'Heavy Vehicles', 'Mining Equipment', 'Engines Manufacturing', 'Engineering Products', 'Capital Goods', 'Construction Materials', 'Mining', 'Manufacturing', 'Heavy Machinery']",CATERPILLAR,122
126,John C. May,USA,1837,"['Industries', 'Agriculture Machinery', 'Construction Equipment', 'Commercial Vehicles', 'Engineering Products', 'Automobile', 'Machinery Manufacturing', 'Capital Goods', 'Manufacturing', 'Heavy Machinery']",DEERE & COMPANY,125
127,Arvind Krishna,USA,1911,"['Technology', 'Software and IT', 'Software Products', 'Computers Hardware', 'Laptops', 'Cloud Services', 'Artificial Intelligence', 'Internet of Things', 'Electronics', 'Consumer Electronics']",IBM,123
128,Dominic Barton BMM,UK,1873,"['Basic Materials', 'Metals', 'Mining', 'Aluminum', 'Iron and Steel', 'Copper Mining', 'Gold Mining', 'Diamonds', 'Coal Mining', 'Molybdenum', 'Precious Metals']",RIO TINTO GROUP,124
129,James D. Taiclet Jr.,USA,1995,"['Real Estate', 'Cell Towers Infrastructure', 'Infrastructure', 'Consumer Services', 'Property Investments']",AMERICAN TOWER CORPORATION (REIT),121
130,Martin Barrington,Belgium,2008,"['Consumer Defensive', 'Beverages', 'Non-Alcoholic Beverages', 'FMCG', 'Consumer Non Durables', 'Alcoholic Beverages']",ANHEUSER-BUSCH INBEV,134
131,Hamid Moghadam,USA,1983,"['Real Estate', 'Property Investments', 'Investments', 'Consumer Services']",PROLOGIS,128
132,Yang Mingsheng,China,1949,"['Financial Services', 'Banking Services', 'Insurance']",CHINA LIFE INSURANCE COMPANY,133
133,Navneet Kapoor,USA,1902,"['Consumer Defensive', 'Retail', 'eCommerce', 'Consumer Services']",TARGET CORPORATION,131
134,Viktor Zubkov,Russia,1989,"['Energy', 'Oil and Gas', 'Natural Gas Generation', 'Petrochemicals', 'Oil and Gas Pipeline Transport', 'Chemicals']",GAZPROM,136
135,Thomas M. Rutledge,USA,1993,"['Communication Services', 'Telecom', 'Internet Providers', 'Fixed Line Service', 'Television Services', 'Consumer Services', 'Media', 'Advertising', 'Entertainment']",CHARTER COMMUNICATIONS,135
136,Jonathan Symonds,UK,2000,"['Healthcare', 'Pharmaceutical', 'HealthCare Products', 'Biotechnology', 'Technology']",GLAXOSMITHKLINE,132
137,Richard E. Thornburgh,USA,1917,"['Financial Services', 'Investments', 'Trading', 'Stock Markets, Trading, Capital Markets']",S&P GLOBAL,137
138,Fred Luddy,USA,2003,"['Technology', 'Cloud Services', 'Software and IT', 'Software Products', 'Artificial Intelligence']",SERVICENOW,129
139,H. Lawrence Culp Jr,USA,1892,"['Industries', 'Aircraft Parts', 'Aerospace Products', 'HealthCare Products', 'Aerospace and Defense', 'Electrical Products', 'Software and IT', 'Software Products', 'Technology Hardware and Instruments', 'Energy', 'Electronics', 'Engineering Products', 'Lighting Products', 'Technology', 'Space Products']",GENERAL ELECTRIC COMPANY,130
140,Tim Buckley,USA,Not found,"['Asset Management', 'Investments', 'Financial Services', 'Mutual Funds', 'Brokerage Services']",VANGUARD GROUP,139
141,Not found,USA,1979,"['Logistics', 'Technology']",INGRAM MICRO,139
142,Jean-Pascal Tricoire,France,1836,"['Power Equipment', 'Automation', 'Building Automation', 'Industrial Automation', 'Industrial Electrical Electronics', 'Power Management Tools', 'Tools and Equipment', 'Industry Machinery', 'Lighting Products', 'Electric Vehicle Charging Station']",SCHNEIDER ELECTRIC,138
143,Elizabeth E. Tallett,USA,2004,"['Healthcare', 'Insurance', 'Financial Services', 'HealthCare Products']",ANTHEM,143
144,Rene Obermann,Netherlands,1970,"['Industries', 'Aerospace and Defense', 'Aeroplane', 'Defense Products', 'Helicoptors', 'Space Products', 'Aircrafts', 'Machinery Manufacturing', 'Manufacturing']",AIRBUS,145
145,Charles G. Koch,USA,Not found,"['Energy', 'Oil and Gas', 'Metals', 'Mining', 'Chemicals', 'Fertilizers', 'Paper and Pulp', 'Plastics / Plastic Products', 'Commodities Trading']",KOCH INDUSTRIES,145
146,Ryan Lance,USA,1875,"['Energy', 'Oil and Gas', 'Natural Gas Generation', 'Petroleum', 'Coal Mining', 'Mining']",CONOCOPHILLIPS COMPANY,140
147,Brian Chesky,USA,2008,"['Internet or Mobile App Based Business', 'Rent / Lease Services', 'Consumer Services']",AIRBNB,144
148,Robert E. Switz,USA,1978,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments', 'Memory Products']",MICRON TECHNOLOGY,142
149,Richard Qiangdong Liu,China,1998,"['Consumer Cyclical', 'eCommerce', 'Internet or Mobile App Based Business', 'Retail', 'Consumer Services']",JD.COM,141
150,Oliver Bate,Germany,1890,"['Financial Services', 'Insurance', 'Asset Management']",ALLIANZ SE,148
151,Forrest Li,Singapore,2009,"['Communication Services', 'Gaming', 'Software Products', 'Technology', 'Consumer Services', 'Entertainment', 'Software and IT', 'Retail', 'eCommerce']",SEA LIMITED,146
152,Zhang Yiming,China,2012,"['Technology', 'Social Media', 'Internet or Mobile App Based Business']",BYTEDANCE,145
153,Satoshi Miura,Japan,1952,"['Communication Services', 'Telecom', 'Mobile Services', 'Fixed Line Service', 'Internet Providers', 'Television Services']",NIPPON TELEGRAPH AND TELEPHONE CORPORATION,151
154,Motoyuki Ii,Japan,1991,"['Communication Services', 'Telecom', 'Mobile Services']",NTT DOCOMO,152
155,Belen Garijo,Germany,1668,"['Healthcare', 'Pharmaceutical', 'Chemicals', 'HealthCare Products']",MERCK KGAA O.N.,150
156,Arthur F. Weinbach,USA,1961,"['Industries', 'Software Products', 'Software and IT', 'Technology', 'Outsourcing and Staffing']",AUTOMATIC DATA PROCESSING (ADP),154
157,Francois-Henri Pinault ,France,1963,"['Consumer Cyclical', 'Luxury Goods', 'Leather Products', 'Clothing', 'Eyewear', 'Watches', 'Shoes', 'Footwear', 'eCommerce', 'Retail', 'Convenience Stores', 'FMCG', 'Consumer Goods', 'Fashion and Luxury Goods']",KERING,153
158,Mike Roman,USA,1902,"['Industries', 'Medical Equipment', 'Electronics', 'HealthCare Products', 'Chemicals', 'Engineering Products', 'Adhesives', 'Consumer Goods', 'Conglomerate', 'Industry Machinery']",3M COMPANY,147
159,N.r. Narayana Murthy,India,1981,"['Technology', 'Software and IT', 'Software Products', 'Software Consulting Services', 'Software Outsourcing Services', 'Artificial Intelligence', 'Cloud Services', 'Internet of Things', 'Automation', 'Robotics', 'Consulting Services', 'Outsourcing and Staffing']",INFOSYS,149
160,Marta Ortega,Spain,1985,"['Consumer Cyclical', 'Retail', 'Readymade Clothing']",INDITEX (INDUSTRIA DE DISENO TEXTIL),159
161,Paul Perreault,Australia,1916,"['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Technology']",CSL,162
162,Stefan Hartung,Germany,Not found,"['Technology', 'Engineering Products', 'Technology Hardware and Instruments', 'Electronics', 'Automobile Parts', 'Home Appliances', 'Security Systems and Solutions', 'Internet of Things', 'Cloud Services']",ROBERT BOSCH,163
163,Marillyn Hewson,USA,1995,"['Industries', 'Aerospace Products', 'Defense Products', 'Aerospace and Defense', 'Missiles', 'Weapons', 'Marine Systems', 'Security Systems and Solutions', 'Capital Goods', 'Space Products', 'Artificial Intelligence']",LOCKHEED MARTIN CORPORATION,158
164,Abdullah bin Sulaiman,Saudi Arabia,1957,"['Financial Services', 'Banking Services']",AL RAJHI BANKING AND INVESTMENT CORPORATION,163
165,Kevin A. Lobo,USA,1941,"['Healthcare', 'Medical Equipment', 'HealthCare Products']",STRYKER CORPORATION,157
