,company_ipo_year,company_country,company_ceo,company_founded,company_revenue,company_name
859,,China,,2015.0,25.71 Billion USD,CRRC CORPORATION
860,,USA,Lawrence E. Kurzius,1889.0,25.68 Billion USD,MCCORMICK & COMPANY
861,,China,Zheng Wanchun,1996.0,25.65 Billion USD,CHINA MINSHENG BANKING
862,2017.0,USA,Dallas B. Tanner,2012.0,25.61 Billion USD,INVITATION HOMES
863,,USA,Arnold W. Donald,1972.0,25.53 Billion USD,CARNIVAL CORPORATION
864,,USA,Liam Griffin,2002.0,25.50 Billion USD,SKYWORKS SOLUTIONS
865,,Japan,Masaaki Tanaka,1881.0,25.48 Billion USD,NIPPON PAINT HOLDINGS
866,,China,,1989.0,25.46 Billion USD,LI NING COMPANY
867,,Japan,Fujio Mitarai,1937.0,25.38 Billion USD,CANON
868,,Japan,Makoto Inoue,1964.0,25.38 Billion USD,ORIX CORPORATION
869,1988.0,Spain,Jose Maria Alvarez-Pallete Lopez,1924.0,25.32 Billion USD,TELEFONICA SA
870,,Hong Kong,,1901.0,25.31 Billion USD,CLP HOLDINGS
871,2000.0,USA,Clifton A. Pemble,1989.0,25.19 Billion USD,GARMIN
872,,Japan,Hiroto Takeuchi,1987.0,25.18 Billion USD,CENTRAL JAPAN RAILWAY COMPANY
873,,Japan,Takahisa Takahara,1961.0,25.16 Billion USD,UNICHARM CORPORATION
874,,Japan,,1962.0,25.15 Billion USD,LASERTEC CORPORATION
875,,Ireland,,1966.0,25.07 Billion USD,KINGSPAN GROUP
876,,India,,1988.0,25.06 Billion USD,ADANI ENTERPRISES
877,,Hong Kong,,1996.0,24.97 Billion USD,GEELY AUTOMOBILE HOLDINGS
878,,UK,Nigel Wilson,1836.0,24.97 Billion USD,LEGAL & GENERAL GROUP
879,1994.0,USA,H Eric Bolton Jr,1977.0,24.92 Billion USD,MID-AMERICA APARTMENT COMMUNITIES
880,,USA,Stephen D Steinour,1866.0,24.91 Billion USD,HUNTINGTON BANCSHARES
881,,Hong Kong,,1992.0,24.87 Billion USD,CHINA RESOURCES BEER (HOLDINGS) COMPANY
882,,Taiwan,,1958.0,24.83 Billion USD,NAN YA PLASTICS CORPORATION
883,,USA,Jennifer C. Witz,2008.0,24.80 Billion USD,SIRIUS XM HOLDINGS
884,,Brazil,Fabio Schvartsman,1899.0,24.77 Billion USD,KLABIN
885,2002.0,USA,Dave Mosley,1979.0,24.70 Billion USD,SEAGATE TECHNOLOGY
886,,USA,Pedro J. Pizarro,1886.0,24.69 Billion USD,EDISON INTERNATIONAL
887,,Canada,Tony Staffieri,1960.0,24.67 Billion USD,ROGERS COMMUNICATIONS
888,,USA,Corie Barry,1966.0,24.66 Billion USD,BEST BUY
889,1993.0,USA,Eugene A. Hall,1979.0,24.62 Billion USD,GARTNER
890,,Spain,Maurici Lucena Betriu,2010.0,24.61 Billion USD,AENA S.M.E
891,,China,,1993.0,24.57 Billion USD,SANAN OPTOELECTRONICS
892,,USA,Christopher J. Swift,1810.0,24.53 Billion USD,HARTFORD FINANCIAL SERVICES GROUP
893,,USA,Beth E. Mooney,1825.0,24.53 Billion USD,KEYCORP
894,,Japan,Yoshihiro Hasebe,1887.0,24.51 Billion USD,KAO CORPORATION
895,,Denmark,Cees 't Hart,1847.0,24.43 Billion USD,CARLSBERG A/S
896,,China,,2001.0,24.42 Billion USD,KE HOLDINGS INC.
897,,Japan,Yozo Shimano,1921.0,24.40 Billion USD,SHIMANO
898,,Switzerland,Thomas Gottstein,1856.0,24.38 Billion USD,CREDIT SUISSE GROUP
899,,Australia,Susan Lloyd-Hurwitz,1972.0,24.37 Billion USD,MIRVAC GROUP
900,,Canada,Paul J. Brink,2007.0,24.34 Billion USD,FRANCO-NEVADA CORPORATION
901,,China,,1991.0,24.32 Billion USD,GF SECURITIES
902,,Taiwan,,1954.0,24.31 Billion USD,FORMOSA PLASTICS CORPORATION
903,,Germany,Niklas Oestberg,2011.0,24.27 Billion USD,DELIVERY HERO SE
904,2017.0,USA,Anthony Wood,2002.0,24.24 Billion USD,ROKU
905,,Switzerland,Frankie Ng,1878.0,24.21 Billion USD,SGS SA
906,,Sweden,Johan Hjertonsson,1984.0,24.17 Billion USD,INVESTMENT AB LATOUR (PUBL)
907,,Ireland,Vicente Reynal,1871.0,24.17 Billion USD,INGERSOLL-RAND (IRELAND)
908,,USA,,,,CAPITAL GROUP
909,,China,,2001.0,24.16 Billion USD,NAURA TECHNOLOGY GROUP
910,,China,,1993.0,24.16 Billion USD,WINGTECH TECHNOLOGY
911,,Malaysia,Abdul Farid Alias,1960.0,24.11 Billion USD,MALAYAN BANKING BERHAD
912,2014.0,USA,Yamini Rangan,2006.0,24.08 Billion USD,HubSpot
913,,Spain,Gonzalo Gortazar Rotaeche,2011.0,24.07 Billion USD,CAIXABANK
914,,UK,,1999.0,24.02 Billion USD,BAE SYSTEMS
915,,USA,John M. Turner Jr.,1971.0,23.95 Billion USD,REGIONS FINANCIAL CORPORATION
916,,China,,1961.0,23.91 Billion USD,CHINA NORTHERN RARE EARTH (GROUP) HIGH-TECH
917,,Japan,Hidetoshi Shibata,2002.0,23.78 Billion USD,RENESAS ELECTRONICS CORPORATION
918,,Japan,,2010.0,23.77 Billion USD,DAI-ICHI LIFE HOLDINGS
919,,UK,Philip Jansen,1980.0,23.73 Billion USD,BT GROUP
920,,Denmark,Jan G. J. van de Winkel,1999.0,23.70 Billion USD,GENMAB A/S
921,,Germany,,1966.0,23.68 Billion USD,HANNOVER RUCK SE
922,,UK,Alistair Phillips-Davies,1998.0,23.67 Billion USD,SSE PLC
923,,Japan,Hiroyuki Ogawa,1921.0,23.64 Billion USD,KOMATSU
924,,USA,Steven E. Strah,1997.0,23.61 Billion USD,FIRSTENERGY
925,1997.0,USA,Matthew John Flannery,1997.0,23.60 Billion USD,UNITED RENTALS
926,,Kuwait,Isam Jasem Al Sager,1952.0,23.56 Billion USD,NATIONAL BANK OF KUWAIT
927,,UK,,1909.0,23.53 Billion USD,SCOTTISH MORTGAGE INVESTMENT TRUST
928,,Ireland,Dan Carestio,1985.0,23.49 Billion USD,STERIS
929,2015.0,USA,Josh Silverman,2005.0,23.47 Billion USD,ETSY
930,,China,,,23.47 Billion USD,AECC AVIATION POWER
931,,Spain,Jose D. Bogas Galvez,1944.0,23.40 Billion USD,ENDESA
932,,Germany,Frank Mastiaux,1997.0,23.39 Billion USD,ENBW ENERGIE BADEN-WURTTEMBERG AG
933,,Hong Kong,,1999.0,23.39 Billion USD,CHINA MENGNIU DAIRY COMPANY
934,,USA,Jeff Miller,1919.0,23.29 Billion USD,HALLIBURTON COMPANY
935,2016.0,China,,2010.0,23.27 Billion USD,BEIGENE
936,,China,,2018.0,23.23 Billion USD,JD HEALTH INTERNATIONAL INC
937,,USA,Jerry Norcia,1903.0,23.19 Billion USD,DTE ENERGY COMPANY
938,,Kuwait,Abdulwahab Iesa Alrushood,1977.0,23.13 Billion USD,KUWAIT FINANCE HOUSE
939,2014.0,USA,,1828.0,23.11 Billion USD,CITIZENS FINANCIAL GROUP
940,,Germany,Vincent Warnery,1882.0,23.06 Billion USD,BEIERSDORF
941,,USA,Robert M. Bakish,2005.0,23.06 Billion USD,VIACOM CBS
942,,UAE,Shayne Nelson,2007.0,23.04 Billion USD,EMIRATES NBD
943,,Switzerland,Arnd Kaldowski,1947.0,23.02 Billion USD,SONOVA HOLDING AG
944,,China,,2002.0,23.01 Billion USD,WEICHAI POWER
945,,Hong Kong,,1950.0,23.01 Billion USD,CK ASSET HOLDINGS
946,,Japan,Hisashi Ietsugu,1968.0,23.01 Billion USD,SYSMEX CORPORATION
947,,Indonesia,,1998.0,23.01 Billion USD,PT BANK MANDIRI (PERSERO) TBK
948,,China,,1985.0,22.98 Billion USD,ZTE CORPORATION
949,,Canada,Charles Brindamour,1809.0,22.97 Billion USD,INTACT FINANCIAL CORPORATION
950,2016.0,China,,2002.0,22.97 Billion USD,ZTO EXPRESS (CAYMAN)
951,,USA,James (Jim) Connor,1972.0,22.93 Billion USD,DUKE REALTY CORPORATION
952,,USA,Prahlad Singh,1937.0,22.92 Billion USD,PERKINELMER
953,,China,,1992.0,22.91 Billion USD,GUOTAI JUNAN SECURITIES
954,,Philippines,Frederic DyBuncio,1958.0,22.82 Billion USD,SM INVESTMENTS CORPORATION
955,,Sweden,Jens Henriksson,1997.0,22.82 Billion USD,SWEDBANK AB (PUBL)
956,,China,,1990.0,22.81 Billion USD,HUATAI SECURITIES
957,,USA,Rene F Jones,1856.0,22.77 Billion USD,M&T BANK CORPORATION
