ceo,country,employees,founded,headquarters,industry,market_cap,name,sector,stock
 Mr. Pieter Willem van der Does,Netherlands," 2,180",,"Amsterdam,Netherlands",Software—Infrastructure,$61.11 B,Adyen N.V.,Technology,ADYEN
 Mr. Rolf Habben Jansen,Germany," 14,106",,"Hamburg,Germany",Marine Shipping,$61.46 B,Hapag-Lloyd AG,Industrials,HLAG
 Mr. Jose Antonio  Alvarez Alvarez,Spain," 177,033", 15 May 1857,"Madrid,Spain",Banks,$61.67 B,"Banco Santander, SA",Financials,SAN
 Mr. Gary Adam Norcross,United States," 65,000", 1968,"Jacksonville,FL,UnitedStates",Information Technology Services,$61.73 B,"Fidelity National Information Services, Inc.",Technology,FIS
 Mr. Vincent T. Roche,United States," 24,700"," Cambridge, Massachusetts, United States 1965","Norwood,MA,UnitedStates",Semiconductors,$62.00 B,"Analog Devices, Inc.",Technology,ADI
 Mr. Craig  Arnold,Ireland," 85,947", 1911,"Dublin,Ireland",Specialty Industrial Machinery,$62.17 B,Eaton Corporation plc,Industrials,ETN
 Mr. Scott Douglas Sheffield,United States," 1,932", 1997,"Irving,TX,UnitedStates",Oil & Gas E&P,$62.19 B,Pioneer Natural Resources Company,Energy,PXD
,Japan," 6,574",,"Kyoto,Japan",Electronic Gaming & Multimedia,$62.20 B,Nintendo Co Ltd,Communication Services,7974
 Mr. Robert Scott Fauber,United States," 13,460", 1909 ,"NewYork,NY,UnitedStates",Financial Data & Stock Exchanges,$62.58 B,Moody's Corporation,Financials,MCO
 Mr. Dara  Khosrowshahi,United States," 29,300", March 2009,"SanFrancisco,CA,UnitedStates",Software—Application,$62.66 B,"Uber Technologies, Inc.",Technology,UBER
 Mr. Xiaodong  Li,Singapore," 29,800",,"Singapore,Singapore",Electronic Gaming & Multimedia,$62.66 B,Sea Limited,Communication Services,SE
 Mr. Martin  Mucci,United States," 15,000", 1971,"Rochester,NY,UnitedStates",Staffing & Employment Services,$49.23 B,"Paychex, Inc.",Industrials,PAYX
 Ms. Sarah M. London,United States," 72,500", 1984,"St.Louis,MO,UnitedStates",Healthcare Plans,$49.32 B,Centene Corporation,Healthcare,CNC
 Mr. Miguel  Patricio,United States," 36,000"," July 2, 2015","Pittsburgh,PA,UnitedStates",Packaged Foods,$49.42 B,The Kraft Heinz Company,Consumer Staples,KHC
 Mr. Laurence Neil Hunn,United States," 19,300", 1890,"Sarasota,FL,UnitedStates",Specialty Industrial Machinery,$49.66 B,"Roper Technologies, Inc.",Industrials,ROP
 Mr. Marcos  Eduardo GalperÃ­n,Argentina," 29,957"," August 2, 1999","BuenosAires,Argentina",Internet Retail,$49.83 B,"MercadoLibre, Inc.",Consumer Discretionary,MELI
