"Rank","Name","in 2021 ranking","in 2020 ranking","Country","Sector","Absolute Growth Rate %","Compound Annual Growth Rate (CAGR) %","Revenue 2020 (€)","Revenue 2017 (€)","Number of employees 2020","Number of employees 2017","Founding Year"
"591","CAM","No","No","Italy","Industrial Goods","268.05","54.40","12,280,490","3,336,600","67","45","1984"
"592","Plug In Digital","Yes","Yes","France","Media","267.75","54.35","13,767,602","3,743,740","37","12","2012"
"593","Predica","No","No","Poland","Technology","267.32","54.29","17,589,082","5,233,937","241","82","2009"
"594","Ocean Transport","No","No","Spain","Transport","266.84","54.23","4,783,846","1,304,073","19","2","2009"
"595","Serinus","No","No","UK","Energy","265.81","54.08","19,651,446","5,474,802","75","103","1997"
"596","DEMV Deutscher Maklerverbund","Yes","No","Germany","Financial Services","264.32","53.87","5,012,841","1,375,943","50","20","2009"
"597","STI Norland","Yes","No","Spain","Energy","263.37","53.74","199,822,150","54,990,779","221","53","1996"
"598","HD Elektrotechnik","Yes","No","Germany","Technology","263.34","53.73","4,207,672","1,158,042","76","27","2011"
"599","Engenie Group","No","No","Italy","Technology","262.60","53.63","2,025,040","558,480","9","1","2017"
"600","Groupe N.A.T","Yes","No","France","Support Services","261.42","53.46","4,180,122","1,156,596","64","25","2016"
"601","La Sarraz Pictures","No","No","Italy","Media","260.90","53.39","1,513,710","419,430","5","2","2015"
"602","Smart-Planet","No","No","Germany","Retail","260.22","53.29","4,598,207","1,276,483","9","5","2016"
"603","Sidea Group","Yes","No","Italy","Management Consulting","260.17","53.29","2,429,590","674,560","49","8","2015"
"604","COUTEAUJAPONAIS.COM","No","No","France","Retail","259.83","53.24","4,579,102","1,272,558","17","5","2004"
"605","PHYSIDIA","Yes","No","France","Health","259.66","53.21","16,746,545","4,656,191","58","20","2010"
"606","Horando Deutschland","No","Yes","Germany","Retail","259.32","53.17","8,111,269","2,257,390","3","2","2013"
"607","Diablochairs, Jan Nowak","Yes","Yes","Poland","Ecommerce","259.15","53.14","21,520,495","6,549,376","79","22","2004"
"608","Parkster","Yes","Yes","Sweden","Technology","258.92","53.11","55,139,984","15,711,602","28","16","2011"
"609","BIOTYFULL","Yes","No","France","Ecommerce","258.88","53.10","20,248,436","5,642,145","13","5","2015"
"610","Bioksan","Yes","No","Spain","Food & Beverage","258.30","53.02","5,914,732","1,650,756","51","14","2014"
"611","Trippel","No","No","Norway","Support Services","258.05","52.98","3,057,807","910,070","118","37","1999"
"612","Yourparkingspace Limited","Yes","Yes","UK","Technology","257.60","52.92","13,863,431","3,904,618","32","15","2013"
"613","Carslift","No","No","France","Automobiles","257.42","52.89","2,226,659","622,989","35","1","2012"
"614","Zimmerei Nordmann","No","No","Germany","Construction","257.35","52.89","2,074,577","580,537","11","5","2009"
"615","SI Silicone Innovation","Yes","No","Germany","Industrial Goods","257.32","52.88","3,640,511","1,018,843","40","20","2015"
