,company_rank,company_name,company_industry,company_location
427,428,Maruti,Car/Automobile,India
428,429,POSB,Bank,Singapore
429,430,ANZ,Bank,Australia
430,431,Abbott,Milk Powder,"China, Singapore"
431,432,Van Houten,Chocolate,Regional
432,433,T-cat,Courier Company,Taiwan
433,434,Motorola,Mobile Phone,Regional
434,435,Indian Oil Corporation,Petrol/Gas Station,India
435,436,Crocodile,Menâs Fashion Retailer,Regional
436,437,Pizza Hut,Restaurant Chain,Regional
437,438,Real,Fruit Juice,"Australia, India"
438,439,Xiaonei/Renren,Social Networking Site,China
439,440,Dentyne,Chewing/Bubble Gum,"Malaysia, Thailand"
440,441,Four Seasons,Hotel,Regional
441,442,Peters,Ice-cream,Australia
442,443,TNT,Courier Company,Regional
443,444,Budweiser,Beer,Regional
444,445,Berri,Fruit Juice,"Australia, Singapore"
445,446,Ben & Jerryâs,Ice-cream,Singapore
446,447,Commonwealth,Bank,Australia
447,448,Tata,Automobile,India
448,449,Doll,Instant Noodles,"China, Hong Kong"
449,450,Mobil,Petrol/Gas Station,"Australia, Hong Kong"
450,451,Taiwan Mobile,Mobile Service Provider,Taiwan
451,452,Amore Pacific,Cosmetics,Korea
452,453,Jet Airways,Full-service Airlines,"India, Hong Kong"
453,454,SYM,Motorcycle,Taiwan
454,455,Kikkoman,Sauce/Condiment,"Australia, Singapore"
455,456,Kowloon Dairy,Milk,Hong Kong
456,457,Walmart,Supermarket,"China, India, Southeast Asia"
457,458,Zipel,White Goods,Korea
458,459,Oral B,Toothpaste,"Australia, Southeast Asia"
459,460,Compaq,Computer,Regional
460,461,Dreyerâs,Ice-cream,Hong Kong
461,462,Firefly,Budget Airlines,Malaysia
462,463,Kymco,Motorcycle,Taiwan
463,464,Guess,Watch,Southeast Asia
464,465,Golden Mountain,Sauce/Condiment,Thailand
465,466,IGA,Convenience Store/Supermarket,Australia
466,467,Cathay Life,Insurance,Taiwan
467,468,MAC,Cosmetics,Regional
468,469,Perrier,Mineral Water,Regional
469,470,Korea Express,Courier Company,Korea
470,471,Calbee,Snack Food,"China, Southeast Asia"
471,472,Cyworld,Social Networking Site,Korea
472,473,Wyeth,Milk Powder,"China, Southeast Asia"
473,474,Clinic,Shampoo,India
474,475,Hanjin,Courier Company,Korea
475,476,Jeju Air,Budget Airlines,Korea
476,477,Air India,Full-service Airlines,India
477,478,Korea Post,Courier Company,Korea
478,479,HL,Milk,"Malaysia, Singapore"
479,480,Hui Yuan,Fruit Juice,China
480,481,Digi,Mobile Service Provider,Malaysia
481,482,Shinramyun,Instant Noodles,"Korea, China"
482,483,85Â°C,Coffee Shop,Taiwan
483,484,Lin Fong Ying (LFY),Milk,Taiwan
484,485,Salvatore Ferragamo,Womenâs Shoes,"Hong Kong, Japan"
485,486,Donna Karan (DKNY),Fragrance/Watch,Regional
486,487,Godrej,Consumer Electronics,India
487,488,Zara,Menâs and Womenâs Fashion Retailer,Regional
488,489,Pauls,Milk,Australia
489,490,Hero Honda,Motorcycle,India
490,491,Myojo,Instant Noodles,India
491,492,Westpac,Bank,Australia
492,493,Vaseline,Female Skincare Product,Regional
493,494,Nissay,Insurance,Japan
494,495,Top Ramen,Instant Noodles,Korea
495,496,Hungry Jackâs,Fast-Food,Australia
496,497,Neutrogena,Female Skincare Product,Regional
497,498,Fairwood,Fast-Food,"China, Hong Kong"
498,499,Chupa Chups,Sweets and Candy,"Australia, Hong Kong"
499,500,Peninsula,Hotel,Regional
500,501,Matsumoto Kiyoshi,Pharmacy/Drugstore,Japan
501,502,Li Ning,Sporting Apparel,"China, Hong Kong"
502,503,Twisties,Savoury Snack Food,Regional
503,504,Bear Brand,Milk/Milk Powder,Thailand
504,505,My space,Social Networking Site,Regional
505,506,Snow Brand,Milk Powder/Milk,"Hong Kong, Japan"
506,507,Kagome,Sauce/Condiment,Japan
507,508,Tissot,Watch,Regional
508,509,JCB,Credit Card,Japan
509,510,Kimlan,Sauce/Condiment,"Hong Kong, Taiwan"
510,511,Iriver,Personal portable music player,"China, Korea"
511,512,Bull-Dog,Sauce/Condiment,Japan
512,513,Longines,Watch,Regional
513,514,Amoy,Sauce/Condiment,"China, Hong Kong"
514,515,Krung Thai,Bank,Thailand
515,516,Fanta,Carbonated Soft Drink,Regional
516,517,Mixi,Social Networking Site,Japan
517,518,Zhonghua (Cigarette),Cigarette,China
518,519,Meiji (Milk Powder),Milk Powder,"Hong Kong, Japan"
519,520,Volvic,Mineral Water,Regional
520,521,China Life,Insurance,China
521,522,ING,Insurance,"Hong Kong, Singapore"
522,523,TRUE,Mobile Service Provider,Thailand
523,524,Videocon,Consumer Electronics,India
524,525,Gusto,Restaurant Chain,Japan
525,526,Xu Fu Ji,Sweets and Candy,China
526,527,Tide,Detergent,Regional
527,528,Manulife,Insurance,"China, Singapore"
528,529,CSL,Mobile Service Provider,Hong Kong
529,530,IndoMie,Instant Noodles,Regional
530,531,Safeguard,Shower Gel/Soap,China
531,532,Holden,Car/Automobile,Australia
