"Rank","Company","Revenues 2018 $m","Employees","Family ownership","Founded","Public/Private","Generation","Family executive","Woman in leadership","Sector","Headquarters","State (abbreviation)","Website"
"59","Diehl Verwaltungs-Stiftung","4,240.7","17,298","Diehl","1902","Private","4","No","No","Industrial Manufacturing","Nürnberg","BY","www.diehl.com"
"60","Der Kreis Einkaufsgesellschaft für Küche und Wohnen Mbh & Co. KG","4,224.9","180","Schaible","1979","Private","1","Yes","No","Retail","Leonberg","BW","www.derkreis.de"
"61","Gauselmann Group","4,125.3","13,395","Gauselmann","1957","Private","3","Yes","No","Industrial Manufacturing","Espelkamp","NW","www.gauselmann.de"
"62","Norma (Discounter) Group","4,064.6","15,000","Roth","1964","Public","3","No","No","Industrial Manufacturing","Nürnberg","BY","www.norma-online.de"
"63","Wilh. Werhahn KG","4,060.5","10,161","Werhahn, Goder","1841","Private","5","Yes","Yes","Industrial Manufacturing","Neu ","NW","www.werhahn.de"
"64","Trumpf GmbH + Co. KG","3,995.9","13,420","Leibinger, Kammueller","1923","Private","3","Yes","Yes","Industrial Manufacturing","Ditzingen","BW","www.trumpf.de"
"65","Webasto SE","3,930.6","13,435","Baier, Mey","1901","Private","6","No","No","Automotive","Stockdorf","BY","www.webasto.com"
"66","Asklepios Kliniken GmbH","3,912.3","35,327","Gro e Broermann","1985","Private","1","No","No","Healthcare","Hamburg","HH","www.asklepios.com"
"67","Wieland Group","3,863.8","7,000","Schwenk, Schleicher","1820","Private","6","No","No","Industrial Manufacturing","Ulm","BW","www.wieland.com"
"68","Hoyer Energie","3,682.5","1,700","Hoyer","1924","Private","4","Yes","Yes","Energy and Utilities","Vi elhövede","NI","www.hoyer-energie.de"
"69","Festo AG & Co. KG","3,673.6","21,200","Stoll","1925","Private","3","No","No","Industrial Manufacturing","E lingen","BW","www.festo.com"
