categories,change_1_day,change_1_year,country,id,market_cap,name,rank,share_price
,2.70%,-8.03%,USA,c1595f2f2bbe4da3886f7efd4f676331,$0.24 B,Commercial Vehicle Group (cvg),6082,$7.22
"['Software', 'Tech']",4.23%,-57.86%,USA,bd813ea8b526420c98d336378b92d93f,$0.24 B,Veritone,6081,$6.65
"['Furniture', 'Retail']",2.84%,-55.60%,USA,bf0c327a530f4bc98f3d2db18670c729,$0.24 B,Conn's,6080,$10.14
['Financial services'],-1.07%,-2.70%,India,09dba3205ee946fe82c2b5b64529042d,$0.24 B,Sundaram Finance,6079,$1.08
,-0.61%,5.25%,India,6de723a3e03a4b3fbba2104dd3e86dea,$0.24 B,Force Motors,6078,$18.46
"['Footwear', 'Clothing']",2.87%,-20.34%,Italy,a6fc47dc0c974045bc4ca9c6e4690820,$0.24 B,Geox,6077,$0.94
['Pharmaceuticals'],-1.70%,-8.97%,India,fce4712bc1cb4198ac5acc7822006fb2,$0.24 B,Neuland Laboratories,6076,$18.97
"['Internet', 'E-Commerce', 'Tech']",2.43%,-62.59%,USA,dd2e0e61db41454b82a70e558fe32854,$0.24 B,Groupon,6075,$8.01
['Agriculture'],6.07%,44.22%,USA,45b3b403d5a94a2fbc97cda5fc6438f6,$0.24 B,Cadiz,6074,$4.37
,-0.91%,-11.71%,India,8b3741038dfe43bbad1bdb4f856068c3,$0.24 B,Hindustan Sanitaryware & Industries,6073,$3.77
['Pulp and paper'],2.71%,-12.92%,Sweden,13125dd292a14476a2f73054dd6ca278,$0.24 B,Nordic Paper,6072,$3.64
['Automotive Suppliers'],-0.84%,-22.63%,India,b2a40c1a22f24b179516c522cabb0f3e,$0.24 B,Subros,6071,$3.76
"['Specialty Vehicles', 'Manufacturing']",-0.38%,-27.17%,India,51312e74e2b94142a5460b4d612b623d,$0.24 B,Vst Tillers Tractors,6070,$28.36
"['Uranium', 'Energy', 'Mining']",2.76%,-13.23%,Canada,72cff84c39ae47f2b2aedd10db6930d9,$0.24 B,Isoenergy,6069,$2.23
"['Banks', 'Financial services']",0.36%,41.02%,USA,63e914b2ba9e43a28e05d4b6596e7063,$0.24 B,Southern States Bancshares,6068,$28.19
"['Banks', 'Financial services']",0.68%,-14.92%,USA,be54ae86fcdc46e69e7b4e611a4093c6,$0.24 B,Parke Bancorp,6067,$20.59
,0.28%,-6.03%,India,309509da4fa64b09b66ee964b6df5fab,$0.24 B,Time Technoplast,6066,$1.09
